2024年浙江省地方政府一般债务分地区限额和余额表
单位：万元
地区 2024年限额 2024年余额
全省 82310700 80793616
省本级 5287400 3823641
杭州市 13170300 13166144
温州市 7193400 7193035
嘉兴市 6093400 6090727
湖州市 5603700 5603335
绍兴市 4962400 4961984
金华市 6143500 6143040
衢州市 4113200 4112756
舟山市 3101400 3101240
台州市 7827100 7826707
丽水市 5640200 5639779
宁波市 13174700 13131228
