宣城市2024年地方政府债务限额及余额决算情况表
单位：亿元
地区 2024年债务限额合计 一般债务限额 专项债务限额 2024年债务余额合计 一般债务余额 专项债务余额
宣城市 797.671 226.0154 571.6556 784.2783 221.8187 562.4596
宣城市本级 251.0899 56.2098 194.8801 247.0213 55.7428 191.2785
宣州区 74.537 35.1284 39.4086 72.977 33.6394 39.3376
郎溪县 77.1228 25.666 51.4568 75.6247 25.5094 50.1153
泾县 70.4883 11.3137 59.1746 68.9883 11.1722 57.8161
绩溪县 42.4931 14.5971 27.896 42.1835 14.4243 27.7592
旌德县 34.9565 12.3135 22.643 33.9695 11.8628 22.1067
宁国市 135.8082 36.6453 99.1629 134.4091 35.9401 98.469
广德市 111.1752 34.1416 77.0336 109.1049 33.5277 75.5772
