2024年浙江省地方政府专项债务分地区限额和余额表
单位：万元
地区 2024年限额 2024年余额
全省 179978000 165168500
省本级 22884000 8078100
杭州市 31483700 31482910
温州市 29348600 29348331
嘉兴市 17918900 17918300
湖州市 10508300 10508000
绍兴市 17201900 17201544
金华市 15538900 15538540
衢州市 7476500 7476300
舟山市 3745700 3745585
台州市 15541500 15541182
丽水市 8330000 8329718
宁波市 32328800 26842745
