来源标题：63 青海省2018年地方政府债务限额及余额决算情况表
单位：亿元
地区 2018年债务限额（合计） 一般债务限额 专项债务限额 2018年债务余额（决算数，合计） 一般债务余额 专项债务余额
西宁市 336.41 185.16 151.25 296.112898 155.584198 140.528700
海东市 165.86 100.02 65.84 129.453712 79.513612 49.940100
海北藏族自治州 16.41 15.41 1.00 14.827943 13.827943 1.000000
黄南藏族自治州 12.92 10.92 2.00 11.646499 9.646499 2.000000
海南藏族自治州 20.56 16.87 3.69 16.288369 14.349869 1.938500
果洛藏族自治州 8.27 7.27 1.00 7.060591 6.060591 1.000000
玉树藏族自治州 9.15 8.15 1.00 8.930000 7.930000 1.000000
海西蒙古族藏族自治州 134.95 113.11 21.84 112.999911 95.099911 17.900000
