浙江省2018年地方政府一般债务分地区余额和限额表
单位：万元
地区 2018年限额 2018年余额
全省 61135000 58087061
省级 2063300 2063250
杭州市 10298300 10207105
宁波市 12231000 11518265
温州市 4239600 4238714
嘉兴市 4290000 4206799
湖州市 5280000 5218785
绍兴市 4023800 4019608
金华市 3976300 3939829
舟山市 2339800 2338562
台州市 5627400 5626033
衢州市 2115700 2113697
丽水市 2597700 2596414
