广东省2018年省级决算草案表18
2018年广东省地方政府债务限额及余额决算情况表
单位：亿元；字段顺序：债务限额合计 一般债务限额 专项债务限额 债务余额合计 一般债务余额 专项债务余额
广州市 2801.18 1053.62 1747.56 2403.79 900.97 1502.83
深圳市 384.50 313.60 70.90 145.92 86.52 59.40
韶关市 243.60 163.13 80.47 194.14 128.64 65.50
珠海市 572.77 375.25 197.52 446.13 258.96 187.16
汕头市 220.79 92.54 128.26 202.99 78.22 124.77
佛山市 1642.95 643.19 999.77 1263.10 386.13 876.97
江门市 541.76 355.61 186.15 441.57 269.41 172.16
湛江市 331.70 152.82 178.88 322.51 148.55 173.97
茂名市 250.93 153.65 97.28 214.20 132.19 82.00
肇庆市 384.51 198.14 186.37 314.40 176.75 137.65
惠州市 694.64 534.58 160.06 563.60 418.56 145.04
梅州市 312.48 186.38 126.10 260.87 149.86 111.00
汕尾市 157.47 65.90 91.56 142.65 60.49 82.15
河源市 236.49 154.77 81.71 220.56 139.76 80.80
阳江市 181.75 103.22 78.54 169.86 98.12 71.73
清远市 302.50 120.34 182.16 274.49 97.69 176.80
东莞市 677.12 558.00 119.12 635.84 531.10 104.73
中山市 278.40 97.58 180.82 250.46 79.97 170.49
潮州市 144.14 92.49 51.65 131.25 83.73 47.52
揭阳市 217.16 116.10 101.06 202.76 110.11 92.65
云浮市 194.07 93.28 100.79 160.70 76.58 84.13
