浙江省2018年地方政府专项债务分地区余额和限额表
单位：万元
地区 2018年限额 2018年余额
全省 55165000 49856987
省级 1639000 1639000
杭州市 12695200 12614321
宁波市 8139000 6554733
温州市 6867100 6852340
嘉兴市 4803500 4740167
湖州市 1745900 1711442
绍兴市 4942800 4942401
金华市 3035000 3010018
舟山市 1708200 1707991
台州市 2873400 2873018
衢州市 1558700 1558206
丽水市 1653800 1653350
