来源标题：青海省2019年地方政府债务限额及余额预算情况表
单位：亿元
地区 2019年债务限额（合计） 一般债务限额 专项债务限额 2019年债务余额预计执行数（合计） 一般债务余额 专项债务余额
西宁市 400.30 203.00 197.30 357.08 172.55 184.53
海东市 183.90 106.10 77.80 146.64 85.20 61.44
海北藏族自治州 24.40 19.40 5.00 22.83 17.83 5.00
黄南藏族自治州 20.00 14.00 6.00 18.71 12.71 6.00
海南藏族自治州 26.10 19.90 6.20 21.58 17.35 4.23
果洛藏族自治州 12.30 9.80 2.50 11.06 8.56 2.50
玉树藏族自治州 13.10 12.10 1.00 12.93 11.93 1.00
海西蒙古族藏族自治州 163.20 120.10 43.10 140.21 102.01 38.20
