贵州省2019年分地区政府债务限额和余额情况表
编制：贵州省财政厅  单位：亿元
地区 2019年政府债务限额 一般债务限额 专项债务限额 2019年政府债务余额（快报数） 一般债务余额 专项债务余额
贵阳市 2279.06 405.97 1873.09 2188.84 378.62 1810.23
六盘水市 580.85 494.62 86.23 571.66 485.54 86.11
遵义市 1504.38 1109.52 394.86 1458.30 1070.66 387.64
安顺市 504.07 323.73 180.34 468.95 289.91 179.04
铜仁市 689.48 534.69 154.79 682.60 528.01 154.59
黔西南州 498.52 380.41 118.11 493.37 376.22 117.15
毕节市 954.52 730.83 223.69 926.10 705.53 220.57
黔东南州 522.49 357.21 165.28 504.14 345.11 159.03
黔南州 912.03 506.98 405.04 881.20 493.12 388.08
