来源：https://www.lhratings.com/file/ffef41a4110.pdf
表2.3 2024年内蒙古自治区各地级市、盟主要经济指标（单位：亿元、%、万人）
区域名称|GDP|GDP增速|年末常住人口
鄂尔多斯市|6363.00|6.40|224.10
包头市|4575.10|8.10|277.20
呼和浩特市|4107.10|6.10|363.90
赤峰市|2322.10|4.40|393.10
呼伦贝尔市|1730.70|3.50|213.90
通辽市|1686.20|4.00|277.70
巴彦淖尔市|1242.30|5.70|148.90
锡林郭勒盟|1236.00|4.60|111.30
乌兰察布市|1214.20|5.40|158.10
兴安盟|807.70|4.40|137.20
乌海市|595.60|4.10|55.70
阿拉善盟|413.60|6.00|26.90
注：本批只提取表内明确的GDP、GDP增速和年末常住人口，口径为全市/全盟；不使用报告图表中的财政估读值。
