表1

             湖南省2020年地方政府债务限额及余额决算情况表
                                                                                        单位：亿元
                           2020年债务限额                              2020年债务余额（决算数）
      地 区
                            一般债务            专项债务                         一般债务          专项债务
      公 式   A=B+C              B             C            D=E+F           E             F
                            2020年债务限额                              2020年债务余额（决算数）
      地 区
                             一般债务            专项债务                         一般债务          专项债务
      公 式    A=B+C              B             C            D=E+F           E             F
 桂阳县              76.76              66.85          9.91        75.80           65.89          9.91
 宜章县              51.56              35.54         16.02        51.40           35.39         16.02
 永兴县              57.44              41.56         15.88        57.33           41.45         15.88
 嘉禾县              43.01              32.34         10.67        43.01           32.34         10.67
 临武县              33.44              27.22          6.22        32.93           26.71          6.22
 汝城县              85.95              63.09         22.86        85.94           63.09         22.86
 桂东县              23.00              18.42          4.58        22.79           18.21          4.58
 安仁县              52.65              28.24         24.41        52.64           28.23         24.41
 资兴市              68.29              55.38         12.91        64.79           51.88         12.91
永州市              522.66             331.48        191.18       511.52          322.32        189.20
 永州市本级           144.11              60.92         83.19       141.69           58.50         83.19
 零陵区              33.18              20.07         13.11        33.18           20.07         13.11
 冷水滩区             29.35              23.01          6.34        29.35           23.01          6.34
 祁阳县              65.06              50.30         14.76        64.37           49.61         14.76
 东安县              28.66              18.00         10.66        27.58           16.91         10.66
 双牌县              21.50              16.57          4.93        21.30           16.36          4.93
 道县               36.06              23.97         12.09        36.06           23.97         12.09
 江永县              25.46              17.55          7.91        20.47           14.55          5.92
 宁远县              37.25              26.53         10.72        37.20           26.48         10.72
 蓝山县              22.89              15.08          7.81        21.19           13.39          7.81
 新田县              34.57              28.67          5.90        34.56           28.66          5.90
 江华瑶族自治县          44.57              30.81         13.77        44.58           30.81         13.77
怀化市              644.08             319.25        324.83       643.14          318.44        324.70
 怀化市本级           310.26              94.21        216.05       310.26           94.21        216.04
 鹤城区              25.96              18.03          7.93        25.84           17.90          7.93
 中方县              21.44              11.12         10.33        21.16           10.85         10.31
 沅陵县              39.21              25.33         13.88        39.10           25.33         13.77
 辰溪县              29.86              21.12          8.74        29.85           21.12          8.74
 溆浦县              40.50              29.88         10.62        40.28           29.67         10.62
 会同县              23.60              17.87          5.73        23.60           17.86          5.73
 麻阳苗族自治县          24.92              18.69          6.23        24.89           18.66          6.23
 新晃侗族自治县          23.70              17.76          5.94        23.71           17.76          5.94
 芷江侗族自治县          26.23              13.54         12.69        26.20           13.51         12.69
 靖州苗族侗族自治
