浙江省2020年地方政府专项债务分地区余额和限额表
单位：万元
地区 2020年限额 2020年余额
全省 84230800 80085527
其中：省级 6936000 5486000
杭州市 17155000 16908067
宁波市 11414800 9839115
温州市 11072600 10920012
嘉兴市 6485600 6474635
湖州市 3184800 2979639
绍兴市 8087800 8056909
金华市 5678700 5423016
舟山市 2250800 2226316
台州市 5608300 5425307
衢州市 3299000 3292944
丽水市 3057400 3053567
注：债务余额小于限额是因市县偿还到期政府债务减少债务余额所致。
