浙江省2020年地方政府一般债务分地区限额和余额表
单位：万元
地区 2020年限额 2020年余额
全省 69572700 66330772
其中：省级 3642400 2717750
杭州市 11546400 11338780
宁波市 12858700 11775661
温州市 5779300 5077452
嘉兴市 5284400 5223776
湖州市 5508600 5395069
绍兴市 4435700 4424015
金华市 4667500 4598694
舟山市 2796100 2781769
台州市 6596400 6550302
衢州市 2773900 2771046
丽水市 3683300 3676458
注：债务余额小于限额是因市县偿还到期政府债务减少债务余额所致。
