year,province,city,prov_code,city_code,region,hu_line,gdp,gdp_per_capita,gdp_growth,retail_sales,fixed_asset_inv,real_estate_inv,pop_hukou,pop_urban_hukou,pop_avg,employees,emp_secondary,emp_tertiary,fiscal_revenue,fiscal_exp,edu_exp,sci_exp,secondary_share,tertiary_share,industrial_firms,industrial_profit,fdi,exports,bank_deposits,bank_loans,uni_students,uni_students_per10k,highway_passenger,mobile_users,internet_users,so2_emission,wastewater,sewage_treatment_rate,pm25,lccp_treat,lccp_batch,lccp_first_year,sponge_treat,sponge_batch,sponge_first_year,cbec_treat,cbec_batch,cbec_first_year,ltci_treat,ltci_batch,ltci_first_year,smart_treat,smart_batch,smart_first_year
1990,北京市,北京市,110000,110000,东部,东南侧,5008200.0,4883.0,,3076643.0,1368357.0,,1035.71,,1025.6,,281.6,254.79,740101.0,665184.0,,,52.39,38.848,,,27695.0,,,,139646.0,,3490.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1991,北京市,北京市,110000,110000,东部,东南侧,5586900.0,5395.0,,3577529.0,1462331.0,,1039.5,,1035.6,,279.68,263.54,770199.0,679933.0,,,52.181,39.67,,,24482.0,,,,136940.0,,3118.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1992,北京市,北京市,110000,110000,东部,东南侧,7334726.0,7410.0,,4453082.0,2009831.0,,1044.89,,1043.45,,257.03,264.12,802532.0,717424.0,105507.0,,50.171,42.125,,,64475.0,,,,147923.0,,3415.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1993,北京市,北京市,110000,110000,东部,东南侧,9082551.0,9424.0,,5328636.0,3182214.0,,1051.18,,1051.3,,234.38,264.69,841015.0,809859.0,130962.0,,48.161,44.581,,,104467.0,,,,158906.0,,3713.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1994,北京市,北京市,110000,110000,东部,东南侧,10830377.0,11439.0,,6669756.0,5211383.0,,1061.75,,1059.15,482.0,211.73,265.27,1349452.0,1463677.0,216688.0,,46.151,47.037,,,144460.0,,,,175203.0,,4010.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1995,北京市,北京市,110000,110000,东部,东南侧,13948900.0,13454.0,12.4,8269826.0,4441085.0,3527730.0,1076.98,,1067.0,482.0,195.83,236.35,1857890.0,2117496.0,302414.0,,44.1,50.1,,,107996.0,,,,182173.0,,4307.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1996,北京市,北京市,110000,110000,东部,东南侧,16157300.0,15469.0,9.2,9236637.0,4974076.0,3281659.0,1077.7,,1074.85,660.0,260.12,327.46,2366327.0,2771314.0,388140.0,,42.3,52.6,,,124846.0,,,,189953.0,,4605.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1997,北京市,北京市,110000,110000,东部,东南侧,18100900.0,17483.0,9.57,10515342.0,5820764.0,3303366.0,1216.7,,1082.7,656.0,257.61,327.09,2874764.0,3425133.0,473866.0,,40.8,54.51,,,107729.0,,,,195842.0,,4902.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1998,北京市,北京市,110000,110000,东部,东南侧,20113100.0,19498.0,9.8,11952118.0,6829237.0,3773996.0,1223.39,,1090.55,622.0,225.86,324.79,3383202.0,4078951.0,559592.0,,39.1,56.6,,,206415.0,,,,212984.0,,6704.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1999,北京市,北京市,110000,110000,东部,东南侧,21744600.0,21513.0,10.23,13133233.0,6513968.0,4214591.0,1249.9,,1098.4,619.0,214.64,329.69,3891639.0,4732769.0,645318.0,,38.6,57.3,5225.0,,178191.0,,,,234033.0,,9878.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2000,北京市,北京市,110000,110000,东部,东南侧,24787600.0,23527.0,11.0,14534015.0,6705682.0,5220737.0,1107.53,,1106.25,619.0,206.84,339.98,4400076.0,5386588.0,731044.0,,38.1,58.3,4572.0,,245849.0,,,,282585.0,,13009.0,,,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2001,北京市,北京市,110000,110000,东部,东南侧,28456500.0,25542.0,10.7,15934797.0,14170733.0,7838185.0,1122.3,,1114.1,629.0,215.9,341.87,4908513.0,6040406.0,816770.0,,36.22,60.51,4356.0,,400997.0,,,,340284.0,,16630.0,629.0,1090000.0,,,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2002,北京市,北京市,110000,110000,东部,东南侧,32127100.0,28449.0,10.4,17447866.0,18143000.0,9894000.0,1136.3,,1129.29,679.0,235.31,376.22,5416951.0,6694225.0,902496.0,,34.75,62.19,4551.0,,509912.0,,,,398573.0,,22103.0,920.0,3229327.0,,,45.0,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2003,北京市,北京市,110000,110000,东部,东南侧,36631000.0,32061.0,10.7,19167161.0,21571000.0,12024763.0,1148.82,,1144.49,703.0,225.76,414.78,5925388.0,7348043.0,988222.0,107629.0,35.81,61.5,4019.0,,214675.0,,204759796.0,120430934.0,450789.0,,24940.0,1109.0,3980000.0,114012.0,13107.0,50.0,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2004,北京市,北京市,110000,110000,东部,东南侧,42833100.0,37058.0,13.23,19704844.0,25283000.0,14732859.0,1162.89,,1159.68,854.0,232.8,559.75,7444874.0,8982756.0,1213881.0,132556.0,37.6,60.0,4324.0,,308354.0,,237813488.0,135774452.0,500245.0,,41552.0,1336.0,3893184.0,114012.0,13107.0,54.0,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2005,北京市,北京市,110000,110000,东部,东南侧,68863101.0,45444.0,11.8,28968163.0,28272000.0,15250000.0,1180.7,,1174.88,878.0,231.09,584.71,9192098.0,10583114.0,1458723.0,157439.0,29.43,69.15,6301.0,4134988.0,352638.0,,289700120.0,153354632.0,536724.0,,51925.0,1460.0,3806369.0,105473.0,12813.0,62.0,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2006,北京市,北京市,110000,110000,东部,东南侧,78702835.0,50467.0,12.8,33707447.0,33715013.0,17198650.0,1197.6,,1190.07,514.0,141.99,369.13,11171514.0,12968389.0,1751755.0,193238.0,27.84,70.91,6401.0,5311453.0,455191.0,,303732938.0,148848355.0,554702.0,,2482.0,1571.0,3952919.0,93755.0,10170.0,92.0,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2007,北京市,北京市,110000,110000,东部,东南侧,93533200.0,58204.0,13.34,38002053.0,39665657.0,19958206.0,1213.26,,1205.26,544.0,144.04,397.63,14926380.0,16495023.0,2630041.0,907420.0,26.83,72.09,6398.0,6956067.0,506572.0,,342862942.0,171510538.0,567875.0,,9274.0,1598.0,4220726.0,82909.0,9134.0,70.0,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2008,北京市,北京市,110000,110000,东部,东南侧,104880500.0,63029.0,8.95,45889850.0,38485466.0,19087387.0,1299.85,,1220.46,570.0,140.24,427.42,18373238.0,19592857.0,3162957.0,1121886.0,25.68,73.25,7206.0,5569968.0,608172.0,,405126722.0,192811049.0,575639.0,,9570.0,1616.0,4398295.0,57783.0,8367.0,75.0,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2009,北京市,北京市,110000,110000,东部,东南侧,121530000.0,70452.0,10.2,53098869.0,48584051.0,23377124.0,1245.83,,1235.65,619.0,145.2,470.92,20268089.0,23193658.0,3656677.0,1263072.0,23.5,75.53,6891.0,7429216.0,612094.0,,527302569.0,243649662.0,577154.0,463.0,121373.0,1825.0,5049323.0,59922.0,8713.0,78.0,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2010,北京市,北京市,110000,110000,东部,东南侧,141135800.0,75943.0,10.3,62292986.0,54935179.0,29010686.0,1257.8,,1251.81,647.0,151.24,492.16,23539301.0,27173174.0,4502155.0,1789154.0,24.01,75.11,6885.0,10283360.0,636358.0,,620418389.0,281750343.0,577828.0,459.0,126130.0,2118.0,5455639.0,56844.0,8198.0,81.0,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2011,北京市,北京市,110000,110000,东部,东南侧,162519300.0,81658.0,8.1,69003246.0,58515201.0,30363340.0,1277.9,,1267.9,686.0,166.05,517.49,30062751.0,32452264.0,5200778.0,1830745.0,23.09,76.07,3740.0,11294991.0,705447.0,,698838733.0,317912891.0,578633.0,453.0,129918.0,2576.0,5233645.0,61299.0,8633.0,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2012,北京市,北京市,110000,110000,东部,东南侧,178794000.0,87475.0,7.73,77028167.0,64165795.0,31534419.0,1297.5,,1287.7,717.0,166.53,548.3,33149340.0,36853076.0,6286510.0,1999444.0,22.7,76.46,3692.0,12678868.0,804160.0,,778760000.0,345179846.0,581844.0,448.0,132333.0,3168.0,5720000.0,59330.0,9190.0,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2013,北京市,北京市,110000,110000,东部,东南侧,195005600.0,93213.0,9.07,83751191.0,69826696.0,34834045.0,1316.3,,1306.9,742.0,162.88,576.25,36611097.0,41736563.0,6811775.0,2346742.0,22.32,76.85,3641.0,12828840.0,852418.0,,837612980.0,382214492.0,589254.0,301.0,52481.0,3374.0,5350000.0,52041.0,9486.0,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2014,北京市,北京市,110000,110000,东部,东南侧,213308300.0,99995.0,7.3,96379959.0,75114785.0,39113411.0,1333.4,,1324.9,756.0,159.94,592.68,40271609.0,45246690.0,7420541.0,2827117.0,21.31,77.95,3686.0,15157524.0,904085.0,,905458756.0,424452990.0,594614.0,446.0,52354.0,4076.0,5530000.0,40347.0,9174.0,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2015,北京市,北京市,110000,110000,东部,东南侧,230145900.0,106497.0,6.9,103380064.0,79409699.0,42363473.0,1345.2,,1339.3,777.0,151.04,622.41,47238597.0,57377011.0,8556654.0,2877956.0,19.74,79.65,3548.0,15977122.0,1299635.0,,1222842876.0,488531687.0,593448.0,441.0,49931.0,4052.0,4920000.0,22070.0,8978.0,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2016,北京市,北京市,110000,110000,东部,东南侧,256691300.0,118198.0,6.8,110051000.0,78887000.0,40454000.0,1363.0,,1354.0,792.0,146.46,641.38,50812595.0,64066737.0,8873761.0,2857785.0,19.26,80.23,3340.0,16082648.0,1302858.0,,1327919063.0,566188715.0,599188.0,,48039.0,3869.0,4760000.0,10257.0,8515.0,,,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2017,北京市,北京市,110000,110000,东部,东南侧,280149400.0,128994.0,6.7,115754000.0,,36925000.0,1359.0,,1361.0,813.0,142.15,667.3,54307875.0,68194936.0,9645817.0,3617191.0,19.01,80.56,3231.0,20236731.0,2433000.0,,1379521000.0,633825000.0,592878.0,,44940.0,3752.0,5420000.0,3799.0,8494.0,,58.0,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2018,北京市,北京市,110000,110000,东部,东南侧,303199787.0,140211.0,6.6,117476796.0,,38733513.0,1376.0,,1368.0,819.0,135.56,681.08,57859175.0,74675240.0,10255068.0,4258712.0,18.63,80.98,3197.0,15300110.0,1731089.0,48785416.0,1570922324.0,704836718.0,581133.0,,44175.0,4009.0,6350000.0,1554.0,8422.0,,51.0,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2019,北京市,北京市,110000,110000,东部,东南侧,353710000.0,164220.0,6.1,150636524.0,,,1397.0,,1387.0,791.0,123.24,667.7,58170994.0,74082503.0,11360185.0,4334165.0,16.16,83.52,3121.0,17102542.0,1421299.0,51723764.0,1643494898.0,735759400.0,585971.0,,48151.0,4020.0,6890000.0,1132.0,7716.0,,42.0,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2020,北京市,北京市,110000,110000,东部,东南侧,361030000.0,164889.0,1.2,137163960.0,,,1405.5,,,740.0,,,54838866.0,71161762.0,11382891.0,4109628.0,15.83,83.87,3028.0,17295493.0,,46549453.0,1811055634.0,810351930.0,590335.0,,24548.0,3996.0,7475000.0,988.0,,,38.0,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2021,北京市,北京市,110000,110000,东部,东南侧,402700000.0,183980.0,8.5,148677416.0,,,1414.0,1201.0,,760.0,,,59323080.0,72051201.0,11478293.0,4494463.0,18.05,81.67,3073.0,36843749.0,,61184689.0,1921043104.0,860775028.0,616978.0,,28059.0,3972.0,8060000.0,1004.0,,,33.0,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2022,北京市,北京市,110000,110000,东部,东南侧,416110000.0,190313.0,0.7,137942455.0,,,1428.0,1216.0,,747.0,,,57143582.0,74691549.0,11711223.0,4887041.0,15.87,83.86,3141.0,19987243.0,,58900240.0,2124467258.0,954968928.0,626590.0,,21105.0,3927.0,,799.0,,,30.0,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
2023,北京市,北京市,110000,110000,东部,东南侧,437610000.0,200278.0,5.2,144626607.0,,,,,,,,,61810970.0,79716333.0,12279032.0,5219079.0,14.91,84.85,,16840812.0,,60000516.0,2404386126.0,1086011627.0,618348.0,,,4021.0,,896.0,,,32.0,1,2,2012,0,0,0,1,2,2018,1,2,2020,1,3,2015
1990,天津市,天津市,120000,120000,东部,东南侧,3003100.0,3477.0,,1493582.0,720820.0,,870.46,,863.7,,235.9,140.54,448824.0,401953.0,,,59.928,29.826,,,8315.0,,,,51039.0,,447.0,,,,,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
1991,天津市,天津市,120000,120000,东部,东南侧,3373500.0,3880.0,,1691910.0,1088632.0,,876.55,,869.44,,240.83,144.58,580916.0,474742.0,,,56.028,35.296,,,9388.0,,,,49898.0,,1196.0,,,,,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
1992,天津市,天津市,120000,120000,东部,东南侧,4666133.0,5507.0,,1983054.0,1348470.0,,882.72,,873.8,,242.63,156.75,630548.0,465235.0,66388.0,,55.927,36.15,,,40092.0,,,,55072.0,,1270.0,,,,,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
1993,天津市,天津市,120000,120000,东部,东南侧,5958767.0,7135.0,,2274197.0,1536546.0,,887.73,,878.15,,244.44,168.92,749605.0,512658.0,79210.0,,55.826,37.004,,,70795.0,,,,60247.0,,1344.0,,,,,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
1994,天津市,天津市,120000,120000,东部,东南侧,7251400.0,8762.0,,3033695.0,2225720.0,,894.52,,882.5,513.0,246.24,181.09,879174.0,773469.0,118869.0,,55.724,37.859,,,101499.0,,,,66672.0,,1418.0,,,,,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
1995,天津市,天津市,120000,120000,东部,东南侧,9201100.0,10390.0,14.9,3756362.0,2668991.0,694364.0,898.58,,886.86,515.0,247.34,185.51,1008743.0,1034281.0,158529.0,,54.5,38.7,,,152064.0,,,,68080.0,,1492.0,,,,,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
1996,天津市,天津市,120000,120000,东部,东南侧,11024000.0,12017.0,14.3,4700400.0,2894065.0,715103.0,898.45,,891.22,512.0,241.15,188.42,1138312.0,1295092.0,198188.0,,53.0,40.6,,,200587.0,,,,71354.0,,1566.0,,,,,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
1997,天津市,天津市,120000,120000,东部,东南侧,12404000.0,13645.0,12.05,5350162.0,4986552.0,808041.0,899.8,,895.57,513.0,235.62,155.54,1267881.0,1555903.0,237848.0,,51.91,42.08,,,251135.0,,,,73630.0,,1640.0,,,,,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
1998,天津市,天津市,120000,120000,东部,东南侧,13363800.0,15272.0,9.3,5871198.0,5035649.0,1067035.0,905.09,,899.92,218.0,113.4,103.57,1397450.0,1816714.0,277507.0,,49.4,45.1,,,351803.0,,,,78651.0,,1651.0,,,,,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
1999,天津市,天津市,120000,120000,东部,东南侧,14500600.0,16900.0,10.04,6572816.0,5035568.0,1169569.0,910.17,,904.28,212.0,110.33,100.37,1527019.0,2077526.0,317166.0,,49.1,46.0,5298.0,,253203.0,,,,90450.0,,1671.0,,,,,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2000,天津市,天津市,120000,120000,东部,东南侧,16393600.0,18527.0,10.8,7449892.0,5350412.0,1339294.0,912.0,,908.64,202.0,105.72,95.02,1656588.0,2338337.0,356826.0,,50.0,45.5,5430.0,,256000.0,,,,117690.0,,1820.0,,,,,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2001,天津市,天津市,120000,120000,东部,东南侧,18401000.0,20155.0,11.65,8326969.0,6226043.0,1612662.0,913.98,,912.99,192.0,99.8,91.4,1786157.0,2599148.0,396485.0,,49.16,46.57,5561.0,,322000.0,,,,153998.0,,1780.0,214.0,685502.0,,,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2002,天津市,天津市,120000,120000,东部,东南侧,20511600.0,22380.0,12.5,9413642.0,7147640.0,1758446.0,919.05,,920.66,186.0,92.68,91.73,1915726.0,2859960.0,436145.0,,48.85,47.06,5346.0,,380591.0,,,,196892.0,,1870.0,306.0,1249791.0,,,43.0,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2003,天津市,天津市,120000,120000,东部,东南侧,24476600.0,26532.0,14.8,9222673.0,10466915.0,2113876.0,926.0,,928.33,191.0,97.6,92.44,2045295.0,3120771.0,475804.0,19403.0,50.88,45.46,5341.0,,163325.0,,40335100.0,34260200.0,245213.0,,2109.0,383.0,2045731.0,230171.0,21605.0,44.0,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2004,天津市,天津市,120000,120000,东部,东南侧,29318800.0,31550.0,15.7,10527006.0,12589831.0,2639165.0,932.55,,936.0,194.0,96.82,96.22,2461800.0,3750212.0,553991.0,22915.0,53.21,43.2,5378.0,,247243.0,,47502800.0,38385900.0,286145.0,,2457.0,423.0,2674900.0,201410.0,22628.0,54.0,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2005,天津市,天津市,120000,120000,东部,东南侧,36976200.0,35783.0,14.7,11900636.0,15168405.0,3275403.0,939.31,,943.68,194.0,97.51,95.8,3318507.0,4421207.0,672034.0,27989.0,55.47,41.49,6144.0,5515983.0,332885.0,,56844000.0,44174500.0,327417.0,,2961.0,503.0,2073625.0,241174.0,30081.0,63.0,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2006,天津市,天津市,120000,120000,东部,东南侧,43591500.0,41163.0,14.5,13567865.0,18497987.0,4023184.0,948.89,,951.35,195.0,98.37,95.9,4170479.0,5431219.0,815828.0,33063.0,57.08,40.21,6301.0,6929954.0,413077.0,,65319400.0,51069400.0,357382.0,,3807.0,602.0,2288500.0,232282.0,22978.0,74.0,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2007,天津市,天津市,120000,120000,东部,东南侧,50504000.0,46122.0,15.2,16037390.0,23886353.0,5052956.0,959.1,,959.02,200.0,99.31,100.17,5404390.0,6743262.0,1100248.0,223384.0,57.27,40.54,6361.0,7671218.0,527776.0,,82420700.0,65438300.0,371136.0,,5253.0,738.0,2498900.0,224775.0,21444.0,78.0,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2008,天津市,天津市,120000,120000,东部,东南侧,63543800.0,55473.0,16.5,20003400.0,34041057.0,6537248.0,968.87,,966.69,201.0,94.13,105.77,6756186.0,8677245.0,1416985.0,286530.0,60.13,37.94,6001.0,7259500.0,741978.0,,99541600.0,76891200.0,386437.0,,6579.0,817.0,4611800.0,209844.0,20433.0,79.0,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2009,天津市,天津市,120000,120000,东部,东南侧,75218500.0,62574.0,16.5,24308297.0,50063247.0,7351836.0,979.84,,974.36,202.0,96.18,104.73,8219916.0,11242778.0,1736062.0,339953.0,53.02,45.27,8326.0,8312768.0,901985.0,,138871100.0,111521900.0,405968.0,414.0,22566.0,993.0,5333900.0,172980.0,19441.0,80.0,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2010,天津市,天津市,120000,120000,东部,东南侧,92244600.0,72994.0,17.4,29025506.0,65114200.0,8666424.0,984.85,,982.35,206.0,97.74,107.2,10688093.0,13768395.0,2295648.0,432530.0,52.47,45.95,7947.0,15520534.0,1084872.0,,164992500.0,137741100.0,429224.0,436.0,21822.0,1090.0,1740400.0,217620.0,19680.0,83.0,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2011,天津市,天津市,120000,120000,东部,东南侧,113072800.0,85213.0,16.4,33950600.0,74836973.0,10800492.0,996.4,,990.7,268.0,157.84,109.8,14551299.0,17963333.0,3023241.0,601721.0,52.43,46.16,5013.0,1933717.0,1305602.0,,169105200.0,148977200.0,449702.0,451.0,22053.0,1235.0,1901900.0,221897.0,19795.0,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2012,天津市,天津市,120000,120000,东部,东南侧,128938800.0,93173.0,13.8,39214286.0,83402588.0,12599969.0,993.2,,994.8,289.0,162.64,125.88,17600201.0,21432125.0,3787491.0,764529.0,51.68,46.99,5342.0,33178222.0,1501633.0,,196756800.0,173920600.0,473114.0,476.0,24483.0,1303.0,2140000.0,215481.0,19117.0,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2013,天津市,天津市,120000,120000,东部,东南侧,143701600.0,99607.0,11.45,44704286.0,100910313.0,14808152.0,1004.0,,998.6,302.0,165.47,136.44,20790716.0,25492061.0,4613571.0,928087.0,50.64,48.05,5383.0,19927619.0,1682897.0,,226845862.0,194533091.0,489919.0,285.0,24980.0,1323.0,1880000.0,207793.0,18692.0,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2014,天津市,天津市,120000,120000,东部,东南侧,157269300.0,105231.0,10.0,47386543.0,116262649.0,16996496.0,1016.7,,1010.3,300.0,165.83,133.63,23903518.0,28846993.0,5170063.0,1089967.0,49.38,49.34,5501.0,22618329.0,1886676.0,,239594223.0,217159863.0,505795.0,497.0,14530.0,1352.0,10140000.0,195395.0,19011.0,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2015,天津市,天津市,120000,120000,东部,东南侧,165381900.0,107960.0,9.3,52572834.0,130480000.0,18715500.0,1026.9,,1021.78,295.0,151.34,142.91,26671100.0,32323500.0,5074400.0,1208200.0,46.58,52.15,5525.0,22218230.0,2113444.0,,271459275.0,245009122.0,512854.0,499.0,14218.0,1406.0,12050000.0,154605.0,18973.0,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2016,天津市,天津市,120000,120000,东部,东南侧,178853900.0,115053.0,9.1,56358078.0,127563593.0,23000100.0,1044.0,,1036.0,286.0,136.35,148.85,27235000.0,36994300.0,5024901.0,1251740.0,42.33,56.44,5203.0,20466908.0,3082563.0,,290413611.0,273679661.0,513842.0,,13741.0,1500.0,2840000.0,54539.0,18022.0,,,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2017,天津市,天津市,120000,120000,东部,东南侧,185491900.0,119238.0,3.6,57296691.0,,22333936.0,1050.0,,1047.0,269.0,117.04,151.82,23101109.0,32808795.0,4352701.0,1159606.0,40.94,58.15,4286.0,10613738.0,1060784.0,,297461601.0,301030457.0,514669.0,,12538.0,1580.0,3390000.0,42323.0,18107.0,,62.0,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2018,天津市,天津市,120000,120000,东部,东南侧,188096400.0,120711.0,3.6,55330440.0,,24244892.0,1082.0,,1066.0,260.0,101.17,158.31,21061890.0,31045305.0,4466652.0,1057097.0,40.46,58.62,4292.0,12006814.0,485104.0,32071582.0,299105294.0,325394250.0,523349.0,,12259.0,1680.0,4910000.0,32937.0,17729.0,,52.0,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2019,天津市,天津市,120000,120000,东部,东南侧,141040000.0,90371.0,4.8,42182097.0,,27278199.0,1108.0,,1087.0,269.0,102.4,166.7,24102520.0,35087128.0,4669789.0,1099548.0,35.23,63.46,4614.0,12120302.0,473161.0,4379373.0,306998030.0,348740384.0,547750.0,,12206.0,1705.0,5240000.0,21346.0,,,50.0,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2020,天津市,天津市,120000,120000,东部,东南侧,140840000.0,101614.0,1.5,35829079.0,,,1130.0,,,255.0,,,19231103.0,31513505.0,4429121.0,1181712.0,34.11,64.39,5120.0,9711463.0,,30751180.0,330376393.0,376904382.0,572152.0,,7926.0,1725.0,5545000.0,9756.0,,,48.0,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2021,天津市,天津市,120000,120000,东部,东南侧,156950000.0,113732.0,6.6,37697821.0,,,1152.0,833.0,,256.0,,,21410606.0,31525478.0,4792461.0,1039691.0,37.3,61.26,5662.0,15032660.0,,38756079.0,347009481.0,400433925.0,583353.0,,8916.0,1745.0,5850000.0,8138.0,,,39.0,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2022,天津市,天津市,120000,120000,东部,东南侧,163110000.0,119235.0,0.96,35719920.0,,,1161.0,844.0,,243.0,,,18466866.0,27298298.0,4789376.0,621605.0,37.02,61.3,5812.0,16856186.0,,38035852.0,393426689.0,416503164.0,594505.0,,6959.0,1810.0,,6227.0,,,37.0,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
2023,天津市,天津市,120000,120000,东部,东南侧,167370000.0,122752.0,4.27,38206695.0,,,,,,,,,20275112.0,32804209.0,4917886.0,770293.0,35.74,62.65,,15010822.0,,36313836.0,434299020.0,436656470.0,596569.0,,,1908.0,,6151.0,,,41.0,1,1,2010,0,0,0,1,1,2015,1,2,2020,1,3,2015
1990,河北省,石家庄市,130000,130100,东部,东南侧,735000.0,2632.0,,370181.0,170533.0,,283.51,,279.26,,71.88,47.38,110257.0,49719.0,,,56.789,30.34,,,267.0,,,,28398.0,,930.0,,,,,,,1,2,2012,0,0,0,1,3,2020,0,0,0,1,1,2013
1991,河北省,石家庄市,130000,130100,东部,东南侧,843800.0,2960.0,,432797.0,178123.0,,286.5,,285.01,,72.84,48.74,120451.0,55986.0,,,58.711,29.865,,,344.0,,,,28270.0,,828.0,,,,,,,1,2,2012,0,0,0,1,3,2020,0,0,0,1,1,2013
1992,河北省,石家庄市,130000,130100,东部,东南侧,1137900.0,3880.0,,475841.0,269234.0,,290.01,,345.8,,104.86,86.25,136336.0,118043.0,9899.0,,55.649,29.975,,,3070.0,,,,34134.0,,954.0,,,,,,,1,2,2012,0,0,0,1,3,2020,0,0,0,1,1,2013
1993,河北省,石家庄市,130000,130100,东部,东南侧,2825000.0,4799.0,,885221.0,624324.0,,827.31,,406.58,,136.87,123.75,236414.0,167891.0,27598.0,,52.588,30.085,,,5796.0,,,,39998.0,,1079.0,,,,,,,1,2,2012,0,0,0,1,3,2020,0,0,0,1,1,2013
