2021年浙江省地方政府一般债务分地区限额和余额表
单位：万元
地区 2021年限额 2021年余额
全省 73432700 71336110
其中：省级 3650400 2725750
杭州市 12558100 12248063
宁波市 12988700 12509396
温州市 5984300 5965155
嘉兴市 5753400 5679304
湖州市 5577200 5554384
绍兴市 4565700 4483193
金华市 5235000 5203465
舟山市 2968100 2933998
台州市 6913600 6827336
衢州市 3123900 3119411
丽水市 4114300 4086655
注：债务余额小于限额是因市县偿还到期政府债务减少债务余额所致。
