贵州省2021年分地区政府债务限额和余额情况表
编制：贵州省财政厅  单位：亿元
地区 2021年政府债务限额 一般债务限额 专项债务限额 2021年政府债务余额（快报数） 一般债务余额 专项债务余额
贵阳市 2543.06 419.48 2123.57 2499.07 396.20 2102.87
六盘水市 733.64 525.05 208.60 724.43 515.95 208.48
遵义市 1803.65 1159.60 644.05 1774.24 1135.96 638.28
安顺市 619.30 343.76 275.53 606.54 334.45 272.10
铜仁市 858.60 581.30 277.31 851.16 574.05 277.10
黔西南州 692.49 419.36 273.13 684.83 414.87 269.96
毕节市 1137.39 753.89 383.50 1118.14 736.44 381.70
黔东南州 693.88 369.60 324.28 677.66 357.33 320.33
黔南州 1082.62 535.94 546.68 1068.58 525.48 543.09
