2023年浙江省地方政府一般债务分地区限额和余额表
单位：万元
地区 2023年限额 2023年余额
全省 78650700 76835772
其中：省本级 4833000 3075141
杭州市 12863000 12859903
温州市 6732700 6732177
嘉兴市 5952800 5950747
湖州市 5447200 5446729
绍兴市 4757800 4757227
金华市 5798900 5798330
衢州市 3870200 3869788
舟山市 3070500 3070341
台州市 7369000 7368557
丽水市 5080900 5080464
宁波市 12874700 12826368
注：债务余额小于限额是因市县偿还到期政府债务减少债务余额所致。
