表27
贵州省2023年分地区政府债务限额和余额情况表
单位：亿元
地区 2023年政府债务限额合计 一般债务 专项债务 2023年政府债务余额合计 一般债务 专项债务
贵州省 16171.55 8840.17 7331.38 15124.69 8231.34 6893.35
省本级 2473.27 1721.89 751.38 2120.64 1538.27 582.37
市州小计 13698.28 7118.28 6580.00 13004.05 6693.07 6310.98
贵阳市 3471.41 789.75 2681.66 3435.81 761.10 2674.71
六盘水市 1002.28 677.71 324.57 935.27 655.58 279.69
遵义市 2439.77 1617.19 822.58 2351.56 1533.27 818.29
安顺市 735.42 417.83 317.59 726.58 410.91 315.67
铜仁市 1227.81 791.89 435.92 1095.15 708.02 387.13
黔西南州 1012.66 604.14 408.52 893.48 541.61 351.87
毕节市 1447.54 965.44 482.10 1377.56 941.88 435.68
黔东南州 973.68 513.94 459.74 871.99 451.97 420.02
黔南州 1387.71 740.39 647.32 1316.65 688.73 627.92
