表六十一 江苏省2023年地方政府债务限额及余额情况表
金额单位：亿元
地区 合计限额 一般债务限额 专项债务限额 合计余额 一般债务余额 专项债务余额
南京市 3258.10 1155.07 2103.03 3070.03 1117.58 1952.45
无锡市 2187.36 569.22 1618.14 2171.37 564.68 1606.69
徐州市 1687.53 363.81 1323.72 1634.78 351.06 1283.72
常州市 1922.89 420.29 1502.60 1899.74 414.86 1484.89
苏州市 2202.04 745.67 1456.37 2046.12 712.34 1333.78
南通市 2196.52 852.46 1344.06 2129.94 840.24 1289.71
连云港市 749.47 251.85 497.62 732.99 245.75 487.24
淮安市 871.97 405.42 466.55 832.65 395.06 437.59
盐城市 1730.86 706.96 1023.90 1654.87 696.69 958.18
扬州市 1253.39 441.89 811.50 1216.80 436.37 780.44
镇江市 2460.85 559.89 1900.96 2459.08 558.85 1900.23
泰州市 1102.14 479.68 622.46 1070.72 468.03 602.69
宿迁市 977.25 385.39 591.86 968.85 381.42 587.43
