2025年地方政府债务限额和余额情况表
表二十二
单位：亿元
项目 合计限额 合计余额 一般债务限额 一般债务余额 专项债务限额 专项债务余额
全省合计 15365.4 14349.2 5749.9 5528.9 9615.5 8820.3
省本级 2832.2 2203.1 1376.3 1320.4 1455.9 882.7
市区小计 12533.2 12146.1 4373.7 4208.5 8159.6 7937.6
铜川市 345.1 337.4 133.2 128.1 211.9 209.3
宝鸡市 771.9 744.4 275.2 259.8 496.7 484.6
咸阳市 831.0 812.9 269.9 259.3 561.1 553.6
渭南市 972.7 948.7 387.8 370.3 584.9 578.4
汉中市 786.8 752.3 284.5 276.1 502.3 476.2
安康市 794.8 775.4 395.0 386.0 399.8 389.4
商洛市 604.3 584.1 370.9 360.5 233.4 223.6
延安市 866.0 830.0 419.2 399.9 446.8 430.1
榆林市 891.4 859.1 499.3 480.8 392.1 378.3
杨凌示范区 144.2 138.6 53.7 50.4 90.5 88.2
