city_id,admin_code_6,city_name_cn,province_code,province_name,prefecture_type,sample_tier,metric_year,period_end,geo_scope,data_status,gdp_current_100m,gdp_real_growth_pct,resident_population_10k,general_public_revenue_100m,general_public_expenditure_100m,gov_fund_revenue_100m,general_debt_limit_100m,general_debt_balance_100m,special_debt_limit_100m,special_debt_balance_100m,statutory_debt_limit_100m,statutory_debt_balance_100m,debt_limit_utilization_pct,statutory_debt_to_gdp_pct,statutory_debt_to_revenue_pct,statutory_debt_to_general_revenue_pct,fiscal_self_sufficiency_pct,fund_revenue_dependence_pct,gov_fund_to_general_revenue_pct,gov_fund_source_status,source_doc_id,source_grade,collection_status,lineage_complete_flag,note
CN-340800,340800,安庆市,34,安徽省,地级市,core,2022,2022-12-31,prefecture_whole,secondary_debt,2767.00,2.90,415.60,174.86,531.42,,,,,,,765.00,,27.65,437.49,437.49,32.90,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-SECONDARY-RATING-ANHUI-2022-CITY-CHART;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,needs_review,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。
CN-341000,341000,黄山市,34,安徽省,地级市,core,2022,2022-12-31,prefecture_whole,preliminary,138.88,0.70,132.30,11.35,221.28,,,,,,,345.00,,248.42,3039.65,3039.65,5.13,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-SECONDARY-RATING-ANHUI-2022-CITY-CHART;SRC-B2-HONGHEIKU-CITY-BULLETIN-CN-341000-2022;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,extracted,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。；已接入2022年黄山市官方预算执行报告；财政三项字段为全市快报数，保留execution状态，不改写为最终决算。
CN-341100,341100,滁州市,34,安徽省,地级市,core,2022,2022-12-31,prefecture_whole,preliminary,3610.00,5.50,405.00,277.90,512.90,,,,,,,1059.30,,29.34,381.18,381.18,54.18,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-SECONDARY-RATING-ANHUI-2022-CITY-CHART;SRC-B2-HONGHEIKU-CITY-BULLETIN-CN-341100-2022;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,extracted,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。；已接入2022年滁州市官方预算执行报告；财政三项字段为全市快报数，保留execution状态，不改写为最终决算。
CN-341200,341200,阜阳市,34,安徽省,地级市,core,2022,2022-12-31,prefecture_whole,secondary_debt,3233.00,3.90,814.10,184.80,646.74,,,,,,,1384.80,,42.83,749.35,749.35,28.57,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-SECONDARY-RATING-ANHUI-2022-CITY-CHART;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,needs_review,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。
CN-341300,341300,宿州市,34,安徽省,地级市,core,2022,2022-12-31,prefecture_whole,secondary_debt,2225.00,3.90,530.00,155.35,502.11,,,,,,,765.00,,34.38,492.44,492.44,30.94,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-SECONDARY-RATING-ANHUI-2022-CITY-CHART;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,needs_review,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。
CN-341500,341500,六安市,34,安徽省,地级市,core,2022,2022-12-31,prefecture_whole,secondary_debt,2005.00,4.22,437.90,161.26,528.31,,,,,,,954.60,,47.61,591.96,591.96,30.52,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-SECONDARY-RATING-ANHUI-2022-CITY-CHART;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,needs_review,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。
CN-341600,341600,亳州市,34,安徽省,地级市,core,2022,2022-12-31,prefecture_whole,reported,2102.00,4.20,496.00,148.13,397.18,,,,,,,830.00,,39.49,560.32,560.32,37.30,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-SECONDARY-RATING-ANHUI-2022-CITY-CHART;SRC-B2-GOTOHUI-BALANCE-3051325;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,extracted,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。；已接入2022年亳州市官方预算执行报告；财政三项字段为全市快报数，保留execution状态，不改写为最终决算。
CN-341700,341700,池州市,34,安徽省,地级市,core,2022,2022-12-31,prefecture_whole,secondary_debt,1079.00,5.40,132.80,83.13,201.80,,,,,,,300.00,,27.80,360.88,360.88,41.19,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-SECONDARY-RATING-ANHUI-2022-CITY-CHART;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,needs_review,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。
CN-341800,341800,宣城市,34,安徽省,地级市,core,2022,2022-12-31,prefecture_whole,secondary_debt,1914.00,4.20,249.50,188.50,348.54,,,,,,,590.00,,30.83,313.00,313.00,54.08,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-SECONDARY-RATING-ANHUI-2022-CITY-CHART;SRC-D-DACHUANG-CITY-PANEL-2015-2024,B2,needs_review,true,已接入评级报告或其他二手公开来源的债务补缺值；不等同于官方决算数据，必须回到财政/人大预算决算或官方债务表复核。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。
CN-350100,350100,福州市,35,福建省,地级市,core,2022,2022-12-31,prefecture_whole,preliminary,12308.00,4.42,806.60,698.52,1006.09,,,502.45,,1336.65,,1839.10,,14.94,263.29,263.29,69.43,,,未采集,SRC-CITY-PANEL-1990-2023;SRC-B2-CITY-YEARBOOK-2023;SRC-OFFICIAL-DEBT-FUJIAN-FUZHOU-2022;SRC-D-DACHUANG-CITY-PANEL-2015-2024,A2,needs_review,true,已从省级财政厅官方地级行政单元债务明细表提取；经济财政字段与债务字段的来源状态分开记录。；已接入2022年第三方公开研究面板 D 级临时值（字段=resident_population_10k）；仅用于原始空缺覆盖，待官方统计年鉴/公报复核，不计入高等级定稿率。
