record_id,city_id,metric_year,period_end,geo_scope,general_debt_limit_100m,general_debt_balance_100m,special_debt_limit_100m,special_debt_balance_100m,statutory_debt_limit_100m,statutory_debt_balance_100m,data_status,source_doc_id,source_grade,collection_status,lineage_complete_flag,note
DEBT-CN-469000-2025-PREFECTURE,CN-469000,2025,2025-12-31,prefecture_whole,,,,,,,not_collected,,,missing,false,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-500000-2025-PREFECTURE,CN-500000,2025,2025-12-31,prefecture_whole,17681.00,16782.00,4077.00,3957.00,21758.00,20739.00,official_debt,SRC-PROVINCE-DEBT-CHONGQING-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-510100-2025-PREFECTURE,CN-510100,2025,2025-12-31,prefecture_whole,,,,,,7223.90,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-TOP6-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-510300-2025-PREFECTURE,CN-510300,2025,2025-12-31,prefecture_whole,,,,,,1015.80,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-ZIGONG-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-510400-2025-PREFECTURE,CN-510400,2025,2025-12-31,prefecture_whole,,,,,,415.80,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-PANZHIHUA-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-510500-2025-PREFECTURE,CN-510500,2025,2025-12-31,prefecture_whole,,,,,,1343.00,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-TOP6-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-510600-2025-PREFECTURE,CN-510600,2025,2025-12-31,prefecture_whole,,,,,,1123.70,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-DEYANG-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-510700-2025-PREFECTURE,CN-510700,2025,2025-12-31,prefecture_whole,,,,,,1537.00,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-TOP6-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-510800-2025-PREFECTURE,CN-510800,2025,2025-12-31,prefecture_whole,,,,,,775.40,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-GUANGYUAN-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-510900-2025-PREFECTURE,CN-510900,2025,2025-12-31,prefecture_whole,,,,,,1064.95,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-SUINING-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-511000-2025-PREFECTURE,CN-511000,2025,2025-12-31,prefecture_whole,,359.46,,623.09,,982.55,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-NEIJIANG-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-511100-2025-PREFECTURE,CN-511100,2025,2025-12-31,prefecture_whole,,,,,,1128.90,official_debt,SRC-OFFICIAL-DEBT-SICHUAN-LESHAN-2025,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-511300-2025-PREFECTURE,CN-511300,2025,2025-12-31,prefecture_whole,,,,,,1519.40,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-TOP6-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-511400-2025-PREFECTURE,CN-511400,2025,2025-12-31,prefecture_whole,,236.66,,747.45,,984.11,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-MEISHAN-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-511500-2025-PREFECTURE,CN-511500,2025,2025-12-31,prefecture_whole,,,,,,1595.80,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-TOP6-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-511600-2025-PREFECTURE,CN-511600,2025,2025-12-31,prefecture_whole,,,,,,968.03,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-GUANGAN-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-511700-2025-PREFECTURE,CN-511700,2025,2025-12-31,prefecture_whole,,,,,,1427.70,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-TOP6-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-511800-2025-PREFECTURE,CN-511800,2025,2025-12-31,prefecture_whole,,,,,,517.61,official_debt,SRC-CITY-DEBT-SICHUAN-YAAN-2025,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-511900-2025-PREFECTURE,CN-511900,2025,2025-12-31,prefecture_whole,,,,,,1096.50,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-BAZHONG-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-512000-2025-PREFECTURE,CN-512000,2025,2025-12-31,prefecture_whole,,,,,,765.60,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-ZIYANG-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-513200-2025-PREFECTURE,CN-513200,2025,2025-12-31,prefecture_whole,,,,,,207.70,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-ABA-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-513300-2025-PREFECTURE,CN-513300,2025,2025-12-31,prefecture_whole,,,,,,186.80,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-GANZI-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-513400-2025-PREFECTURE,CN-513400,2025,2025-12-31,prefecture_whole,,,,,,684.00,secondary_debt,SRC-SECONDARY-DEBT-SICHUAN-LIANGSHAN-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-520100-2025-PREFECTURE,CN-520100,2025,2025-12-31,prefecture_whole,886.19,875.52,3486.98,3454.37,4373.17,4329.89,official_debt,SRC-PROVINCE-DEBT-GUIZHOU-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-520200-2025-PREFECTURE,CN-520200,2025,2025-12-31,prefecture_whole,690.32,683.50,587.41,583.85,1277.73,1267.35,official_debt,SRC-PROVINCE-DEBT-GUIZHOU-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-520300-2025-PREFECTURE,CN-520300,2025,2025-12-31,prefecture_whole,1620.18,1610.13,1450.96,1442.30,3071.14,3052.43,official_debt,SRC-PROVINCE-DEBT-GUIZHOU-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-520400-2025-PREFECTURE,CN-520400,2025,2025-12-31,prefecture_whole,428.87,425.29,422.51,419.51,851.38,844.80,official_debt,SRC-PROVINCE-DEBT-GUIZHOU-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-520500-2025-PREFECTURE,CN-520500,2025,2025-12-31,prefecture_whole,986.28,972.39,816.94,811.78,1803.22,1784.17,official_debt,SRC-PROVINCE-DEBT-GUIZHOU-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-520600-2025-PREFECTURE,CN-520600,2025,2025-12-31,prefecture_whole,830.76,822.66,697.67,695.01,1528.43,1517.67,official_debt,SRC-PROVINCE-DEBT-GUIZHOU-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-522300-2025-PREFECTURE,CN-522300,2025,2025-12-31,prefecture_whole,616.66,611.52,606.99,603.98,1223.65,1215.50,official_debt,SRC-PROVINCE-DEBT-GUIZHOU-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-522600-2025-PREFECTURE,CN-522600,2025,2025-12-31,prefecture_whole,533.29,518.08,623.64,621.04,1156.93,1139.12,official_debt,SRC-PROVINCE-DEBT-GUIZHOU-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-522700-2025-PREFECTURE,CN-522700,2025,2025-12-31,prefecture_whole,761.28,756.92,956.04,948.33,1717.32,1705.25,official_debt,SRC-PROVINCE-DEBT-GUIZHOU-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-530100-2025-PREFECTURE,CN-530100,2025,2025-12-31,prefecture_whole,,,,,,3132.10,secondary_debt,SRC-SECONDARY-DEBT-YUNNAN-KUNMING-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-530300-2025-PREFECTURE,CN-530300,2025,2025-12-31,prefecture_whole,355.80,346.50,839.18,836.79,1194.98,1183.29,official_debt,SRC-OFFICIAL-DEBT-YUNNAN-QUJING-2025,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-530400-2025-PREFECTURE,CN-530400,2025,2025-12-31,prefecture_whole,,,,,,1003.15,secondary_debt,SRC-SECONDARY-DEBT-YUNNAN-YUXI-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-530500-2025-PREFECTURE,CN-530500,2025,2025-12-31,prefecture_whole,,298.37,,692.41,,990.77,official_debt,SRC-CITY-DEBT-YUNNAN-BAOSHAN-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-530600-2025-PREFECTURE,CN-530600,2025,2025-12-31,prefecture_whole,,,,,,1405.11,secondary_debt,SRC-SECONDARY-CEIC-CN-530600,D,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-530700-2025-PREFECTURE,CN-530700,2025,2025-12-31,prefecture_whole,,,,,,478.08,secondary_debt,SRC-SECONDARY-CEIC-CN-530700,D,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-530800-2025-PREFECTURE,CN-530800,2025,2025-12-31,prefecture_whole,,214.78,,492.58,,707.36,official_debt,SRC-OFFICIAL-DEBT-YUNNAN-PUER-2025,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-530900-2025-PREFECTURE,CN-530900,2025,2025-12-31,prefecture_whole,,,,,,689.07,secondary_debt,SRC-SECONDARY-DEBT-YUNNAN-LINCANG-2025,B2,needs_review,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-532300-2025-PREFECTURE,CN-532300,2025,2025-12-31,prefecture_whole,,,,,,801.85,official_debt,SRC-OFFICIAL-DEBT-YUNNAN-CHUXIONG-2025,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-532500-2025-PREFECTURE,CN-532500,2025,2025-12-31,prefecture_whole,287.03,277.51,885.60,879.72,1172.63,1157.23,official_debt,SRC-CITY-DEBT-YUNNAN-HONGHE-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-532600-2025-PREFECTURE,CN-532600,2025,2025-12-31,prefecture_whole,,,,,,1018.95,official_debt,SRC-OFFICIAL-DEBT-YUNNAN-WENSHAN-2025,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-532800-2025-PREFECTURE,CN-532800,2025,2025-12-31,prefecture_whole,,,,,,340.34,official_debt,SRC-OFFICIAL-DEBT-YUNNAN-XISHUANGBANNA-2025,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-532900-2025-PREFECTURE,CN-532900,2025,2025-12-31,prefecture_whole,,2289.80,,7167.80,,9457.59,official_debt,SRC-OFFICIAL-DEBT-YUNNAN-DALI-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-533100-2025-PREFECTURE,CN-533100,2025,2025-12-31,prefecture_whole,,207.77,,351.38,,559.14,official_debt,SRC-OFFICIAL-DEBT-YUNNAN-DEHONG-2025,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-533300-2025-PREFECTURE,CN-533300,2025,2025-12-31,prefecture_whole,,113.50,,86.59,,200.09,official_debt,SRC-OFFICIAL-DEBT-YUNNAN-NUJIANG-2025,A2,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-533400-2025-PREFECTURE,CN-533400,2025,2025-12-31,prefecture_whole,111.73,107.93,119.98,119.40,231.71,227.33,official_debt,SRC-CITY-DEBT-YUNNAN-DIQING-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-540100-2025-PREFECTURE,CN-540100,2025,2025-12-31,prefecture_whole,83.67,82.75,102.78,90.70,186.45,173.45,official_debt,SRC-CITY-DEBT-TIBET-LHASA-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-540200-2025-PREFECTURE,CN-540200,2025,2025-12-31,prefecture_whole,97.95,96.37,54.68,54.48,152.63,150.85,official_debt,SRC-PROVINCE-DEBT-TIBET-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
DEBT-CN-540300-2025-PREFECTURE,CN-540300,2025,2025-12-31,prefecture_whole,95.37,94.84,22.75,22.75,118.11,117.59,official_debt,SRC-CITY-DEBT-TIBET-CHANGDU-2025,A1,extracted,true,法定债务四个分项保持独立；缺失值保留 null。
