risk_metric_id,city_id,metric_year,period_end,geo_scope,metric_code,metric_name_cn,metric_value,unit,value_origin,calculation_id,data_status,source_doc_id,source_grade,note
RISK-CN-110000-2018-statutory_debt_to_gdp,CN-110000,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,14.01,%,calculated,CAL-CN-110000-2018-statutory_debt_to_gdp_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-BEIJING-2018,B2,
RISK-CN-110000-2018-statutory_debt_to_general_revenue,CN-110000,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,73.43,%,calculated,CAL-CN-110000-2018-statutory_debt_to_general_revenue_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-BEIJING-2018,B2,
RISK-CN-110000-2018-debt_limit_utilization,CN-110000,2018,2018-12-31,prefecture_whole,debt_limit_utilization,债务限额利用率,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-BEIJING-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-110000-2018-fiscal_self_sufficiency,CN-110000,2018,2018-12-31,prefecture_whole,fiscal_self_sufficiency,财政自给率,77.48,%,calculated,CAL-CN-110000-2018-fiscal_self_sufficiency_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-BEIJING-2018,B2,
RISK-CN-110000-2018-gov_fund_dependence,CN-110000,2018,2018-12-31,prefecture_whole,gov_fund_dependence,政府性基金收入依赖度,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-BEIJING-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-110000-2018-tax_share,CN-110000,2018,2018-12-31,prefecture_whole,tax_share,税收收入占比,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-BEIJING-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-120000-2018-statutory_debt_to_gdp,CN-120000,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,21.68,%,calculated,CAL-CN-120000-2018-statutory_debt_to_gdp_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-CELMA-DEBT-TIANJIN-2018,A2,
RISK-CN-120000-2018-statutory_debt_to_general_revenue,CN-120000,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,193.64,%,calculated,CAL-CN-120000-2018-statutory_debt_to_general_revenue_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-CELMA-DEBT-TIANJIN-2018,A2,
RISK-CN-120000-2018-debt_limit_utilization,CN-120000,2018,2018-12-31,prefecture_whole,debt_limit_utilization,债务限额利用率,,%,,,official_debt,SRC-CITY-PANEL-1990-2023;SRC-CELMA-DEBT-TIANJIN-2018,A2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-120000-2018-fiscal_self_sufficiency,CN-120000,2018,2018-12-31,prefecture_whole,fiscal_self_sufficiency,财政自给率,67.84,%,calculated,CAL-CN-120000-2018-fiscal_self_sufficiency_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-CELMA-DEBT-TIANJIN-2018,A2,
RISK-CN-120000-2018-gov_fund_dependence,CN-120000,2018,2018-12-31,prefecture_whole,gov_fund_dependence,政府性基金收入依赖度,,%,,,official_debt,SRC-CITY-PANEL-1990-2023;SRC-CELMA-DEBT-TIANJIN-2018,A2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-120000-2018-tax_share,CN-120000,2018,2018-12-31,prefecture_whole,tax_share,税收收入占比,,%,,,official_debt,SRC-CITY-PANEL-1990-2023;SRC-CELMA-DEBT-TIANJIN-2018,A2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130100-2018-statutory_debt_to_gdp,CN-130100,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,17.65,%,calculated,CAL-CN-130100-2018-statutory_debt_to_gdp_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-SHIJIAZHUANG-2018,A1,
RISK-CN-130100-2018-statutory_debt_to_general_revenue,CN-130100,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,206.55,%,calculated,CAL-CN-130100-2018-statutory_debt_to_general_revenue_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-SHIJIAZHUANG-2018,A1,
RISK-CN-130100-2018-debt_limit_utilization,CN-130100,2018,2018-12-31,prefecture_whole,debt_limit_utilization,债务限额利用率,87.25,%,calculated,CAL-CN-130100-2018-debt_limit_utilization_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-SHIJIAZHUANG-2018,A1,
RISK-CN-130100-2018-fiscal_self_sufficiency,CN-130100,2018,2018-12-31,prefecture_whole,fiscal_self_sufficiency,财政自给率,52.41,%,calculated,CAL-CN-130100-2018-fiscal_self_sufficiency_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-SHIJIAZHUANG-2018,A1,
RISK-CN-130100-2018-gov_fund_dependence,CN-130100,2018,2018-12-31,prefecture_whole,gov_fund_dependence,政府性基金收入依赖度,,%,,,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-SHIJIAZHUANG-2018,A1,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130100-2018-tax_share,CN-130100,2018,2018-12-31,prefecture_whole,tax_share,税收收入占比,,%,,,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-SHIJIAZHUANG-2018,A1,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130200-2018-statutory_debt_to_gdp,CN-130200,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,6.40,%,calculated,CAL-CN-130200-2018-statutory_debt_to_gdp_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,
RISK-CN-130200-2018-statutory_debt_to_general_revenue,CN-130200,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,102.87,%,calculated,CAL-CN-130200-2018-statutory_debt_to_general_revenue_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,
RISK-CN-130200-2018-debt_limit_utilization,CN-130200,2018,2018-12-31,prefecture_whole,debt_limit_utilization,债务限额利用率,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130200-2018-fiscal_self_sufficiency,CN-130200,2018,2018-12-31,prefecture_whole,fiscal_self_sufficiency,财政自给率,57.71,%,calculated,CAL-CN-130200-2018-fiscal_self_sufficiency_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,
RISK-CN-130200-2018-gov_fund_dependence,CN-130200,2018,2018-12-31,prefecture_whole,gov_fund_dependence,政府性基金收入依赖度,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130200-2018-tax_share,CN-130200,2018,2018-12-31,prefecture_whole,tax_share,税收收入占比,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130300-2018-statutory_debt_to_gdp,CN-130300,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,14.51,%,calculated,CAL-CN-130300-2018-statutory_debt_to_gdp_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,
RISK-CN-130300-2018-statutory_debt_to_general_revenue,CN-130300,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,177.86,%,calculated,CAL-CN-130300-2018-statutory_debt_to_general_revenue_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,
RISK-CN-130300-2018-debt_limit_utilization,CN-130300,2018,2018-12-31,prefecture_whole,debt_limit_utilization,债务限额利用率,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130300-2018-fiscal_self_sufficiency,CN-130300,2018,2018-12-31,prefecture_whole,fiscal_self_sufficiency,财政自给率,45.81,%,calculated,CAL-CN-130300-2018-fiscal_self_sufficiency_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,
RISK-CN-130300-2018-gov_fund_dependence,CN-130300,2018,2018-12-31,prefecture_whole,gov_fund_dependence,政府性基金收入依赖度,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130300-2018-tax_share,CN-130300,2018,2018-12-31,prefecture_whole,tax_share,税收收入占比,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130400-2018-statutory_debt_to_gdp,CN-130400,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,8.03,%,calculated,CAL-CN-130400-2018-statutory_debt_to_gdp_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,
RISK-CN-130400-2018-statutory_debt_to_general_revenue,CN-130400,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,113.97,%,calculated,CAL-CN-130400-2018-statutory_debt_to_general_revenue_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,
RISK-CN-130400-2018-debt_limit_utilization,CN-130400,2018,2018-12-31,prefecture_whole,debt_limit_utilization,债务限额利用率,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130400-2018-fiscal_self_sufficiency,CN-130400,2018,2018-12-31,prefecture_whole,fiscal_self_sufficiency,财政自给率,38.88,%,calculated,CAL-CN-130400-2018-fiscal_self_sufficiency_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,
RISK-CN-130400-2018-gov_fund_dependence,CN-130400,2018,2018-12-31,prefecture_whole,gov_fund_dependence,政府性基金收入依赖度,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130400-2018-tax_share,CN-130400,2018,2018-12-31,prefecture_whole,tax_share,税收收入占比,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130500-2018-statutory_debt_to_gdp,CN-130500,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,18.12,%,calculated,CAL-CN-130500-2018-statutory_debt_to_gdp_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-HEBEI-XINGTAI-2018-RATING,B2,
RISK-CN-130500-2018-statutory_debt_to_general_revenue,CN-130500,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,261.52,%,calculated,CAL-CN-130500-2018-statutory_debt_to_general_revenue_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-HEBEI-XINGTAI-2018-RATING,B2,
RISK-CN-130500-2018-debt_limit_utilization,CN-130500,2018,2018-12-31,prefecture_whole,debt_limit_utilization,债务限额利用率,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-HEBEI-XINGTAI-2018-RATING,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130500-2018-fiscal_self_sufficiency,CN-130500,2018,2018-12-31,prefecture_whole,fiscal_self_sufficiency,财政自给率,30.11,%,calculated,CAL-CN-130500-2018-fiscal_self_sufficiency_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-HEBEI-XINGTAI-2018-RATING,B2,
RISK-CN-130500-2018-gov_fund_dependence,CN-130500,2018,2018-12-31,prefecture_whole,gov_fund_dependence,政府性基金收入依赖度,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-HEBEI-XINGTAI-2018-RATING,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130500-2018-tax_share,CN-130500,2018,2018-12-31,prefecture_whole,tax_share,税收收入占比,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-HEBEI-XINGTAI-2018-RATING,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130600-2018-statutory_debt_to_gdp,CN-130600,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,11.05,%,calculated,CAL-CN-130600-2018-statutory_debt_to_gdp_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-BAODING-2018,A2,
RISK-CN-130600-2018-statutory_debt_to_general_revenue,CN-130600,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,138.58,%,calculated,CAL-CN-130600-2018-statutory_debt_to_general_revenue_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-BAODING-2018,A2,
RISK-CN-130600-2018-debt_limit_utilization,CN-130600,2018,2018-12-31,prefecture_whole,debt_limit_utilization,债务限额利用率,,%,,,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-BAODING-2018,A2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130600-2018-fiscal_self_sufficiency,CN-130600,2018,2018-12-31,prefecture_whole,fiscal_self_sufficiency,财政自给率,27.26,%,calculated,CAL-CN-130600-2018-fiscal_self_sufficiency_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-BAODING-2018,A2,
RISK-CN-130600-2018-gov_fund_dependence,CN-130600,2018,2018-12-31,prefecture_whole,gov_fund_dependence,政府性基金收入依赖度,,%,,,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-BAODING-2018,A2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130600-2018-tax_share,CN-130600,2018,2018-12-31,prefecture_whole,tax_share,税收收入占比,,%,,,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-BAODING-2018,A2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130700-2018-statutory_debt_to_gdp,CN-130700,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,18.15,%,calculated,CAL-CN-130700-2018-statutory_debt_to_gdp_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-HEBEI-ZHANGJIAKOU-2018-RATING,B2,
RISK-CN-130700-2018-statutory_debt_to_general_revenue,CN-130700,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,177.78,%,calculated,CAL-CN-130700-2018-statutory_debt_to_general_revenue_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-HEBEI-ZHANGJIAKOU-2018-RATING,B2,
RISK-CN-130700-2018-debt_limit_utilization,CN-130700,2018,2018-12-31,prefecture_whole,debt_limit_utilization,债务限额利用率,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-HEBEI-ZHANGJIAKOU-2018-RATING,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130700-2018-fiscal_self_sufficiency,CN-130700,2018,2018-12-31,prefecture_whole,fiscal_self_sufficiency,财政自给率,28.00,%,calculated,CAL-CN-130700-2018-fiscal_self_sufficiency_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-HEBEI-ZHANGJIAKOU-2018-RATING,B2,
RISK-CN-130700-2018-gov_fund_dependence,CN-130700,2018,2018-12-31,prefecture_whole,gov_fund_dependence,政府性基金收入依赖度,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-HEBEI-ZHANGJIAKOU-2018-RATING,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130700-2018-tax_share,CN-130700,2018,2018-12-31,prefecture_whole,tax_share,税收收入占比,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-DEBT-HEBEI-ZHANGJIAKOU-2018-RATING,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130800-2018-statutory_debt_to_gdp,CN-130800,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,33.82,%,calculated,CAL-CN-130800-2018-statutory_debt_to_gdp_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-CHENGDE-2018,A2,
RISK-CN-130800-2018-statutory_debt_to_general_revenue,CN-130800,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,479.23,%,calculated,CAL-CN-130800-2018-statutory_debt_to_general_revenue_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-CHENGDE-2018,A2,
RISK-CN-130800-2018-debt_limit_utilization,CN-130800,2018,2018-12-31,prefecture_whole,debt_limit_utilization,债务限额利用率,,%,,,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-CHENGDE-2018,A2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130800-2018-fiscal_self_sufficiency,CN-130800,2018,2018-12-31,prefecture_whole,fiscal_self_sufficiency,财政自给率,27.72,%,calculated,CAL-CN-130800-2018-fiscal_self_sufficiency_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-CHENGDE-2018,A2,
RISK-CN-130800-2018-gov_fund_dependence,CN-130800,2018,2018-12-31,prefecture_whole,gov_fund_dependence,政府性基金收入依赖度,,%,,,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-CHENGDE-2018,A2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130800-2018-tax_share,CN-130800,2018,2018-12-31,prefecture_whole,tax_share,税收收入占比,,%,,,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-CHENGDE-2018,A2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130900-2018-statutory_debt_to_gdp,CN-130900,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,10.24,%,calculated,CAL-CN-130900-2018-statutory_debt_to_gdp_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,
RISK-CN-130900-2018-statutory_debt_to_general_revenue,CN-130900,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,142.97,%,calculated,CAL-CN-130900-2018-statutory_debt_to_general_revenue_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,
RISK-CN-130900-2018-debt_limit_utilization,CN-130900,2018,2018-12-31,prefecture_whole,debt_limit_utilization,债务限额利用率,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130900-2018-fiscal_self_sufficiency,CN-130900,2018,2018-12-31,prefecture_whole,fiscal_self_sufficiency,财政自给率,42.33,%,calculated,CAL-CN-130900-2018-fiscal_self_sufficiency_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,
RISK-CN-130900-2018-gov_fund_dependence,CN-130900,2018,2018-12-31,prefecture_whole,gov_fund_dependence,政府性基金收入依赖度,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-130900-2018-tax_share,CN-130900,2018,2018-12-31,prefecture_whole,tax_share,税收收入占比,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-131000-2018-statutory_debt_to_gdp,CN-131000,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,8.97,%,calculated,CAL-CN-131000-2018-statutory_debt_to_gdp_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,
RISK-CN-131000-2018-statutory_debt_to_general_revenue,CN-131000,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,77.05,%,calculated,CAL-CN-131000-2018-statutory_debt_to_general_revenue_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,
RISK-CN-131000-2018-debt_limit_utilization,CN-131000,2018,2018-12-31,prefecture_whole,debt_limit_utilization,债务限额利用率,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-131000-2018-fiscal_self_sufficiency,CN-131000,2018,2018-12-31,prefecture_whole,fiscal_self_sufficiency,财政自给率,58.36,%,calculated,CAL-CN-131000-2018-fiscal_self_sufficiency_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,
RISK-CN-131000-2018-gov_fund_dependence,CN-131000,2018,2018-12-31,prefecture_whole,gov_fund_dependence,政府性基金收入依赖度,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-131000-2018-tax_share,CN-131000,2018,2018-12-31,prefecture_whole,tax_share,税收收入占比,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-HEBEI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-131100-2018-statutory_debt_to_gdp,CN-131100,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,12.00,%,calculated,CAL-CN-131100-2018-statutory_debt_to_gdp_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-HENGSHUI-2018-FROM-2019-DECISION,A2,
RISK-CN-131100-2018-statutory_debt_to_general_revenue,CN-131100,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,162.73,%,calculated,CAL-CN-131100-2018-statutory_debt_to_general_revenue_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-HENGSHUI-2018-FROM-2019-DECISION,A2,
RISK-CN-131100-2018-debt_limit_utilization,CN-131100,2018,2018-12-31,prefecture_whole,debt_limit_utilization,债务限额利用率,,%,,,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-HENGSHUI-2018-FROM-2019-DECISION,A2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-131100-2018-fiscal_self_sufficiency,CN-131100,2018,2018-12-31,prefecture_whole,fiscal_self_sufficiency,财政自给率,32.01,%,calculated,CAL-CN-131100-2018-fiscal_self_sufficiency_pct,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-HENGSHUI-2018-FROM-2019-DECISION,A2,
RISK-CN-131100-2018-gov_fund_dependence,CN-131100,2018,2018-12-31,prefecture_whole,gov_fund_dependence,政府性基金收入依赖度,,%,,,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-HENGSHUI-2018-FROM-2019-DECISION,A2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-131100-2018-tax_share,CN-131100,2018,2018-12-31,prefecture_whole,tax_share,税收收入占比,,%,,,official_debt,SRC-CITY-PANEL-1990-2023;SRC-OFFICIAL-DEBT-HEBEI-HENGSHUI-2018-FROM-2019-DECISION,A2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-140100-2018-statutory_debt_to_gdp,CN-140100,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,11.97,%,calculated,CAL-CN-140100-2018-statutory_debt_to_gdp_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-SHANXI-2018,B2,
RISK-CN-140100-2018-statutory_debt_to_general_revenue,CN-140100,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,124.54,%,calculated,CAL-CN-140100-2018-statutory_debt_to_general_revenue_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-SHANXI-2018,B2,
RISK-CN-140100-2018-debt_limit_utilization,CN-140100,2018,2018-12-31,prefecture_whole,debt_limit_utilization,债务限额利用率,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-SHANXI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-140100-2018-fiscal_self_sufficiency,CN-140100,2018,2018-12-31,prefecture_whole,fiscal_self_sufficiency,财政自给率,68.80,%,calculated,CAL-CN-140100-2018-fiscal_self_sufficiency_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-SHANXI-2018,B2,
RISK-CN-140100-2018-gov_fund_dependence,CN-140100,2018,2018-12-31,prefecture_whole,gov_fund_dependence,政府性基金收入依赖度,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-SHANXI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-140100-2018-tax_share,CN-140100,2018,2018-12-31,prefecture_whole,tax_share,税收收入占比,,%,,,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-SHANXI-2018,B2,缺少分子或分母时为空；税收收入占比暂未采集。
RISK-CN-140200-2018-statutory_debt_to_gdp,CN-140200,2018,2018-12-31,prefecture_whole,statutory_debt_to_gdp,法定债务/GDP,25.20,%,calculated,CAL-CN-140200-2018-statutory_debt_to_gdp_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-SHANXI-2018,B2,
RISK-CN-140200-2018-statutory_debt_to_general_revenue,CN-140200,2018,2018-12-31,prefecture_whole,statutory_debt_to_general_revenue,法定债务/一般预算收入,267.78,%,calculated,CAL-CN-140200-2018-statutory_debt_to_general_revenue_pct,secondary_debt,SRC-CITY-PANEL-1990-2023;SRC-SECONDARY-EBS-SHANXI-2018,B2,
