source_doc_id,publisher,publisher_level,document_title,title_source,attachment_title,document_type,source_url,landing_page_url,attachment_url,canonical_url,final_resolved_url,file_name,mime_type,publication_date,publication_date_raw,period_end,downloaded_at,content_hash_sha256,archive_uri,archive_backend,archive_path,page_count,source_grade,http_status,access_status,supersedes_doc_id,note
SRC-OFFICIAL-DEBT-HUBEI-EZHOU-2019,鄂州市财政局,市级财政部门,关于2019年全市财政决算情况的报告,official_attachment,hubei_ezhou_2019.txt,地方政府债务限额及余额公开表,https://www.ezhou.gov.cn/gk/xxgkml/czgk/zfyjs/202011/t20201119_370795.html,https://www.ezhou.gov.cn/gk/xxgkml/czgk/zfyjs/202011/t20201119_370795.html,https://www.ezhou.gov.cn/gk/xxgkml/czgk/zfyjs/202011/t20201119_370795.html,https://www.ezhou.gov.cn/gk/xxgkml/czgk/zfyjs/202011/t20201119_370795.html,https://www.ezhou.gov.cn/gk/xxgkml/czgk/zfyjs/202011/t20201119_370795.html,hubei_ezhou_2019.txt,text/plain,2020-11-19,2020-11-19,2019-12-31,2026-08-01T00:00:00+08:00,e0d7a246dd1492e27c1b1e022b6b05e071dfcfc6071f2376a1f3ea6795376880,archive://national-prefecture-panel/raw/province_debt/2019/official/hubei_ezhou_2019.txt,internal_object,raw/province_debt/2019/official/hubei_ezhou_2019.txt,,A1,200,官方附件已归档,,官方决算报告明确披露2019年全市限额及年末余额，原文单位为万元，原始文件已换算为亿元。
SRC-SECONDARY-DEBT-JIANGXI-NANCHANG-2019,南昌市财政局,市级财政部门,关于2020年南昌市本级举借债务情况的说明,secondary_public_page,jiangxi_nanchang_2019_rating.txt,二手公开城市债务图表,https://czj.nc.gov.cn/ncczj/2020sjzfys/202005/821533b1115a4772a6b0f49c7d89e14e/files/42%E3%80%81%E5%85%B3%E4%BA%8E2020%E5%B9%B4%E5%8D%97%E6%98%8C%E5%B8%82%E6%9C%AC%E7%BA%A7%E4%B8%BE%E5%80%9F%E5%80%BA%E5%8A%A1%E6%83%85%E5%86%B5%E7%9A%84%E8%AF%B4%E6%98%8E.pdf,https://czj.nc.gov.cn/ncczj/2020sjzfys/202005/821533b1115a4772a6b0f49c7d89e14e/files/42%E3%80%81%E5%85%B3%E4%BA%8E2020%E5%B9%B4%E5%8D%97%E6%98%8C%E5%B8%82%E6%9C%AC%E7%BA%A7%E4%B8%BE%E5%80%9F%E5%80%BA%E5%8A%A1%E6%83%85%E5%86%B5%E7%9A%84%E8%AF%B4%E6%98%8E.pdf,https://czj.nc.gov.cn/ncczj/2020sjzfys/202005/821533b1115a4772a6b0f49c7d89e14e/files/42%E3%80%81%E5%85%B3%E4%BA%8E2020%E5%B9%B4%E5%8D%97%E6%98%8C%E5%B8%82%E6%9C%AC%E7%BA%A7%E4%B8%BE%E5%80%9F%E5%80%BA%E5%8A%A1%E6%83%85%E5%86%B5%E7%9A%84%E8%AF%B4%E6%98%8E.pdf,https://czj.nc.gov.cn/ncczj/2020sjzfys/202005/821533b1115a4772a6b0f49c7d89e14e/files/42%E3%80%81%E5%85%B3%E4%BA%8E2020%E5%B9%B4%E5%8D%97%E6%98%8C%E5%B8%82%E6%9C%AC%E7%BA%A7%E4%B8%BE%E5%80%9F%E5%80%BA%E5%8A%A1%E6%83%85%E5%86%B5%E7%9A%84%E8%AF%B4%E6%98%8E.pdf,https://czj.nc.gov.cn/ncczj/2020sjzfys/202005/821533b1115a4772a6b0f49c7d89e14e/files/42%E3%80%81%E5%85%B3%E4%BA%8E2020%E5%B9%B4%E5%8D%97%E6%98%8C%E5%B8%82%E6%9C%AC%E7%BA%A7%E4%B8%BE%E5%80%9F%E5%80%BA%E5%8A%A1%E6%83%85%E5%86%B5%E7%9A%84%E8%AF%B4%E6%98%8E.pdf,jiangxi_nanchang_2019_rating.txt,text/plain,2020-05-01,2020-05-01,2019-12-31,2026-08-01T00:00:00+08:00,22257aad0dc6312606e88e140cfdf718b48d37ac33d262e94ab4e77252b43f8f,archive://national-prefecture-panel/raw/province_debt/2019/official/jiangxi_nanchang_2019_rating.txt,internal_object,raw/province_debt/2019/official/jiangxi_nanchang_2019_rating.txt,,A2,200,公开页面已抓取,,官方说明明确披露2019年全市政府债务余额842.5亿元，其中一般债务389.3亿元、专项债务453.2亿元。
SRC-SECONDARY-DEBT-HUBEI-XIANGYANG-2019,公开评级报告,评级机构研究报告,汉江国投主体与相关债项2020年度跟踪评级报告,secondary_public_page,hubei_xiangyang_2019_rating.txt,二手公开城市债务图表,https://www.sse.com.cn/disclosure/bond/announcement/corporate/c/2020-08-27/3959253196551095858487386.pdf,https://www.sse.com.cn/disclosure/bond/announcement/corporate/c/2020-08-27/3959253196551095858487386.pdf,https://www.sse.com.cn/disclosure/bond/announcement/corporate/c/2020-08-27/3959253196551095858487386.pdf,https://www.sse.com.cn/disclosure/bond/announcement/corporate/c/2020-08-27/3959253196551095858487386.pdf,https://www.sse.com.cn/disclosure/bond/announcement/corporate/c/2020-08-27/3959253196551095858487386.pdf,hubei_xiangyang_2019_rating.txt,text/plain,2020-08-27,2020-08-27,2019-12-31,2026-08-01T00:00:00+08:00,fc16fa23c8012699096d97d0f3c5c0fb5b9c4a3cba64a441bb4fc5a09924bf8f,archive://national-prefecture-panel/raw/province_debt/2019/official/hubei_xiangyang_2019_rating.txt,internal_object,raw/province_debt/2019/official/hubei_xiangyang_2019_rating.txt,,B2,200,公开页面已抓取,,评级报告明确披露全市政府债务余额628.7亿元；未披露一般/专项分项，仅接入总余额，待财政决算原表复核。
SRC-SECONDARY-DEBT-HUBEI-JINGMEN-2019,公开评级报告,评级机构研究报告,荆门城投主体与相关债项2020年度跟踪评级报告,secondary_public_page,hubei_jingmen_2019_rating.txt,二手公开城市债务图表,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/f7569096175171052100a8ba2acb6a91.pdf,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/f7569096175171052100a8ba2acb6a91.pdf,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/f7569096175171052100a8ba2acb6a91.pdf,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/f7569096175171052100a8ba2acb6a91.pdf,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/f7569096175171052100a8ba2acb6a91.pdf,hubei_jingmen_2019_rating.txt,text/plain,2020-08-01,2020-08-01,2019-12-31,2026-08-01T00:00:00+08:00,642385c6e7d7b058d272d62d913ad41b60fd01a76eb29c907b938eaa74c1e90b,archive://national-prefecture-panel/raw/province_debt/2019/official/hubei_jingmen_2019_rating.txt,internal_object,raw/province_debt/2019/official/hubei_jingmen_2019_rating.txt,,B2,200,公开页面已抓取,,评级报告明确披露2019年末全市余额244.7亿元，其中一般债务122.9亿元、专项债务121.8亿元；待财政决算原表复核。
SRC-SECONDARY-DEBT-HUBEI-HUANGGANG-2019,联合资信评估股份有限公司,评级机构研究报告,黄冈市地方政府债务情况跟踪评级报告,secondary_public_page,hubei_huanggang_2019_rating.txt,二手公开城市债务图表,https://www.lhratings.com/reports/B2740-P12261-GZ2020.pdf,https://www.lhratings.com/reports/B2740-P12261-GZ2020.pdf,https://www.lhratings.com/reports/B2740-P12261-GZ2020.pdf,https://www.lhratings.com/reports/B2740-P12261-GZ2020.pdf,https://www.lhratings.com/reports/B2740-P12261-GZ2020.pdf,hubei_huanggang_2019_rating.txt,text/plain,2020-01-01,2020-01-01,2019-12-31,2026-08-01T00:00:00+08:00,47d3575f3de77974d4e9328f23d0543cf41c703d4a71730cc0ff7c2d5c2facbc,archive://national-prefecture-panel/raw/province_debt/2019/official/hubei_huanggang_2019_rating.txt,internal_object,raw/province_debt/2019/official/hubei_huanggang_2019_rating.txt,,B2,200,公开页面已抓取,,评级报告明确披露2019年末全市余额约402亿元，其中一般债务258.9亿元、专项债务143.1亿元；待财政决算原表复核。
SRC-SECONDARY-DEBT-HUBEI-SUIZHOU-2019,公开评级报告,评级机构研究报告,随州高新技术产业投资有限公司2022年公开评级报告,secondary_public_page,hubei_suizhou_2019_rating.txt,二手公开城市债务图表,https://www.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2022-07-08/184448_20220708_2_gKZnq1rt.pdf,https://www.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2022-07-08/184448_20220708_2_gKZnq1rt.pdf,https://www.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2022-07-08/184448_20220708_2_gKZnq1rt.pdf,https://www.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2022-07-08/184448_20220708_2_gKZnq1rt.pdf,https://www.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2022-07-08/184448_20220708_2_gKZnq1rt.pdf,hubei_suizhou_2019_rating.txt,text/plain,2022-07-08,2022-07-08,2019-12-31,2026-08-01T00:00:00+08:00,cfb32083eb9dbee2d0401accbe6844a1bf17b2ca6ca7f7d94efa72076ff6a99e,archive://national-prefecture-panel/raw/province_debt/2019/official/hubei_suizhou_2019_rating.txt,internal_object,raw/province_debt/2019/official/hubei_suizhou_2019_rating.txt,,B2,200,公开页面已抓取,,评级报告表格披露2019年全市政府债务余额127.89亿元；未披露一般/专项分项，仅接入总余额，待财政决算原表复核。
SRC-SECONDARY-DEBT-HUBEI-YICHANG-2019,东方金诚国际信用评估有限公司,评级机构研究报告,东方金诚债跟踪评字【2021】204号（宜昌市地方政府债务情况）,secondary_public_page,hubei_yichang_2019_rating.txt,二手公开城市债务图表,https://www.dfratings.com/data/upload/file/20210506/6093c91806293.pdf,https://www.dfratings.com/data/upload/file/20210506/6093c91806293.pdf,https://www.dfratings.com/data/upload/file/20210506/6093c91806293.pdf,https://www.dfratings.com/data/upload/file/20210506/6093c91806293.pdf,https://www.dfratings.com/data/upload/file/20210506/6093c91806293.pdf,hubei_yichang_2019_rating.txt,text/plain,2021-05-06,2021-05-06,2019-12-31,2026-08-01T00:00:00+08:00,885cf6680e926242c8e304d4e74813f3b2096db9d2eb3792cefd9425284ee3c6,archive://national-prefecture-panel/raw/province_debt/2019/official/hubei_yichang_2019_rating.txt,internal_object,raw/province_debt/2019/official/hubei_yichang_2019_rating.txt,,B2,200,公开页面已抓取,,评级报告明确披露2019年末全市余额282.52亿元，其中一般债务101.64亿元、专项债务180.87亿元；待宜昌市财政决算原表复核。
SRC-SECONDARY-DEBT-HUBEI-ENSHI-2019,东方金诚国际信用评估有限公司,评级机构研究报告,东方金诚债评字【2020】698号（恩施州地方政府债务情况）,secondary_public_page,hubei_enshi_2019_rating.txt,二手公开城市债务图表,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/3f717621fbbcbfbcfc0fea5729282b42.pdf,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/3f717621fbbcbfbcfc0fea5729282b42.pdf,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/3f717621fbbcbfbcfc0fea5729282b42.pdf,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/3f717621fbbcbfbcfc0fea5729282b42.pdf,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/3f717621fbbcbfbcfc0fea5729282b42.pdf,hubei_enshi_2019_rating.txt,text/plain,2020-08-01,2020-08-01,2019-12-31,2026-08-01T00:00:00+08:00,c2f4ae9bd2f25435ad2bdb00dabc30dab381a1cc9dab8e7502ce6a220139d283,archive://national-prefecture-panel/raw/province_debt/2019/official/hubei_enshi_2019_rating.txt,internal_object,raw/province_debt/2019/official/hubei_enshi_2019_rating.txt,,B2,200,公开页面已抓取,,评级报告明确披露2019年末全州余额294.78亿元，其中一般债务200.43亿元、专项债务94.35亿元；待恩施州财政决算原表复核。
SRC-SECONDARY-DEBT-JIANGXI-JINGDEZHEN-2019,景德镇市财政局（公开报告镜像）,市级财政部门公开报告,关于景德镇市2019年全市和市级预算执行情况与2020年全市和市级预算草案的报告,secondary_public_page,jiangxi_jingdezhen_2019_official.txt,二手公开城市债务图表,https://yangtze.silkroadinfo.org.cn/2022/0120/c702a3982041/page.htm,https://yangtze.silkroadinfo.org.cn/2022/0120/c702a3982041/page.htm,https://yangtze.silkroadinfo.org.cn/2022/0120/c702a3982041/page.htm,https://yangtze.silkroadinfo.org.cn/2022/0120/c702a3982041/page.htm,https://yangtze.silkroadinfo.org.cn/2022/0120/c702a3982041/page.htm,jiangxi_jingdezhen_2019_official.txt,text/plain,2020-01-01,2020-01-01,2019-12-31,2026-08-01T00:00:00+08:00,3f9f17d3f91e03f24c93d4a73850c2c6318232a62f55fa860cbdc40da2fde921,archive://national-prefecture-panel/raw/province_debt/2019/official/jiangxi_jingdezhen_2019_official.txt,internal_object,raw/province_debt/2019/official/jiangxi_jingdezhen_2019_official.txt,,A2,200,公开页面已抓取,,公开预算报告明确披露2019年末全市地方政府债务余额201亿元；未披露一般/专项分项，仅接入总余额。
SRC-OFFICIAL-DEBT-JIANGXI-GANZHOU-2019,赣州市财政局,市级财政部门,2020年赣州市本级及所属地区地方政府债务发行、还本付息决算表,official_attachment,jiangxi_ganzhou_2019_official.txt,地方政府债务限额及余额公开表,https://www.ganzhou.gov.cn/zfxxgk/zfyjs/202104/3782126fb7e4468abe535ad327dde572/files/3b94a108f72c4d83b20ca037aeae2c62.pdf,https://www.ganzhou.gov.cn/zfxxgk/zfyjs/202104/3782126fb7e4468abe535ad327dde572/files/3b94a108f72c4d83b20ca037aeae2c62.pdf,https://www.ganzhou.gov.cn/zfxxgk/zfyjs/202104/3782126fb7e4468abe535ad327dde572/files/3b94a108f72c4d83b20ca037aeae2c62.pdf,https://www.ganzhou.gov.cn/zfxxgk/zfyjs/202104/3782126fb7e4468abe535ad327dde572/files/3b94a108f72c4d83b20ca037aeae2c62.pdf,https://www.ganzhou.gov.cn/zfxxgk/zfyjs/202104/3782126fb7e4468abe535ad327dde572/files/3b94a108f72c4d83b20ca037aeae2c62.pdf,jiangxi_ganzhou_2019_official.txt,text/plain,2021-04-01,2021-04-01,2019-12-31,2026-08-01T00:00:00+08:00,e45a952ec282ccf84ce3e5096b1a44fee833a267328738d20494f6ef85815488,archive://national-prefecture-panel/raw/province_debt/2019/official/jiangxi_ganzhou_2019_official.txt,internal_object,raw/province_debt/2019/official/jiangxi_ganzhou_2019_official.txt,,A1,200,官方附件已归档,,官方决算附件列示本地区（全市）2019年末余额631.60亿元，其中一般债务337.52亿元、专项债务294.08亿元；同时列示2019年限额770.86亿元。
