2022年浙江省地方政府一般债务分地区限额和余额表
单位：万元
地区 2022年限额 2022年余额
全省 76842700 74468821
浙江省本级 4569200 2675750
杭州市 12966800 12963542
温州市 6376200 6375780
嘉兴市 5884500 5881861
湖州市 5544700 5544126
绍兴市 4675500 4657099
金华市 5566900 5566340
衢州市 3524900 3524218
舟山市 2973100 2972841
台州市 7099400 7098825
丽水市 4580800 4580355
宁波市 13098700 12628084
注：债务余额小于限额是因市县偿还到期政府债务减少债务余额所致。
