来源标题：表1-1 63 青海省2022年地方政府债务限额及余额预算情况表
单位：亿元
地区 2022年债务限额（合计） 一般债务限额 专项债务限额 2022年债务余额预计执行数（合计） 一般债务余额 专项债务余额
西宁市 577.71 264.31 313.40 517.61 231.53 286.07
海东市 304.63 146.44 158.18 267.79 129.98 137.81
海北藏族自治州 40.79 31.09 9.70 38.11 29.41 8.70
黄南藏族自治州 50.37 31.47 18.90 46.95 30.06 16.90
海南藏族自治州 52.99 40.62 12.37 46.59 37.45 9.14
果洛藏族自治州 32.99 26.44 6.55 30.75 25.20 5.55
玉树藏族自治州 26.03 25.03 1.00 24.85 24.85 0.00
海西蒙古族藏族自治州 249.33 170.96 78.36 225.08 152.63 72.45
