2022年浙江省地方政府专项债务分地区余额和限额表
单位：万元
地区 2022年限额 2022年余额
全省 130330800 127219347
浙江省本级 9446800 7427100
杭州市 23861600 23860857
温州市 19972800 19972591
嘉兴市 10379500 10379071
湖州市 6349600 6349320
绍兴市 12148300 12147832
金华市 8228200 8227535
衢州市 5116800 5116575
舟山市 3018600 3018408
台州市 8959800 8959400
丽水市 5534000 5533693
宁波市 17314800 16226965
注：债务余额小于限额是因市县偿还到期政府债务减少债务余额所致。
