贵州省2022年分地区政府债务限额和余额情况表
编制：贵州省财政厅  单位：亿元
地区 2022年政府债务限额 一般债务限额 专项债务限额 2022年政府债务余额（快报数） 一般债务余额 专项债务余额
贵阳市 2648.73 429.81 2218.92 2603.04 404.82 2198.22
六盘水市 761.26 528.98 232.28 751.78 519.62 232.16
遵义市 1868.82 1166.77 702.05 1839.29 1143.01 696.28
安顺市 642.98 347.77 295.21 630.16 338.38 291.78
铜仁市 901.25 587.65 313.60 892.57 579.17 313.40
黔西南州 732.87 424.76 308.11 725.12 420.18 304.94
毕节市 1172.28 760.26 412.02 1151.99 741.77 410.22
黔东南州 764.11 379.74 384.37 740.03 362.08 377.95
黔南州 1115.43 540.46 574.97 1101.38 530.00 571.38
