表六十一 江苏省 2022 年地方政府债务限额及余额情况表
金额单位：亿元
地区 合计限额 一般债务限额 专项债务限额 合计余额 一般债务余额 专项债务余额
南京市 3299.68 1236.24 2063.44 2988.15 1091.37 1896.77
无锡市 1937.38 572.32 1365.06 1874.36 539.16 1335.20
徐州市 1629.24 391.05 1238.19 1521.53 332.71 1188.82
常州市 1649.19 430.88 1218.31 1607.64 409.67 1197.98
苏州市 2110.76 843.26 1267.50 1772.41 694.48 1077.94
南通市 2168.28 886.74 1281.54 1978.78 800.75 1178.03
连云港市 728.63 267.98 460.65 679.49 238.74 440.75
淮安市 813.87 425.45 388.42 751.47 391.67 359.80
盐城市 1636.21 699.24 936.97 1535.33 662.67 872.66
扬州市 1197.06 455.60 741.46 1104.77 421.16 683.62
镇江市 2244.64 518.78 1725.86 2188.52 479.22 1709.30
泰州市 1086.06 503.00 583.06 1000.64 446.26 554.37
宿迁市 929.77 387.76 542.01 902.15 368.61 533.54
