来源文件：联合资信《地方政府与城投企业债务风险研究报告——江苏篇（2025）》
入口页/附件：https://www.lhratings.com/file/g0fa6dcf4bf.pdf
表6 2024年江苏省各地级市GDP、人口等情况；行政范围=全市；单位=亿元、%、万人
地级市|GDP|GDP增速|年末常住人口
南京市|18500.81|4.5|957.70
苏州市|26727.0|6.0|1298.7
无锡市|16263.29|5.8|750.50
常州市|10813.6|6.1|538.60
镇江市|5540.01|5.9|322.80
南通市|12421.9|6.2|775.0
扬州市|7809.64|6.0|458.68
泰州市|7020.95|5.1|447.40
徐州市|9537.12|6.4|901.00
连云港市|4663.13|5.8|458.17
淮安市|5413.02|7.1|452.35
盐城市|7779.2|5.5|667.1
宿迁市|4801.85|6.9|498.00
注：只提取表格精确值；报告中的财政图表不作为本批数据来源。
