来源文件：联合资信《地方政府与城投企业债务风险研究报告——河北篇（2025）》
入口页/附件：https://www.lhratings.com/file/g0b9dd75e66.pdf
表4 2024年（末）河北省各地级市GDP、人口等情况；行政范围=全市；单位=亿元、%、万人
地级市|GDP|GDP增速|年末常住人口
唐山市|10003.9|5.6|772.28
石家庄市|8203.4|5.5|1124.66
沧州市|4722.8|5.5|722.77
邯郸市|4704.3|6.1|918.21
保定市|4773.3|5.9|904.62
廊坊市|3904.6|5.8|546.90
邢台市|2765.9|4.5|687.78
秦皇岛市|2128.6|5.5|311.14
衡水市|1971.8|5.4|412.99
承德市|1962.6|5.9|328.57
张家口市|1913.3|4.6|403.26
注：只提取表格精确值；报告中的财政图表不作为本批数据来源。
