city_id,city_name_cn,metric_year,statutory_debt_balance_100m,raw_value_million_rmb,value_origin,source_doc_id,source_url,evidence_excerpt,source_grade
CN-510600,德阳市,2021,489.50000,48950.000,disclosed,SRC-SECONDARY-CEIC-CN-510600,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-deyang,CEIC图表：2021年=48950.000百万人民币,D
CN-510600,德阳市,2022,630.00000,63000.000,disclosed,SRC-SECONDARY-CEIC-CN-510600,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-deyang,CEIC图表：2022年=63000.000百万人民币,D
CN-510600,德阳市,2023,760.90000,76090.000,disclosed,SRC-SECONDARY-CEIC-CN-510600,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-deyang,CEIC图表：2023年=76090.000百万人民币,D
CN-510600,德阳市,2024,931.40000,93140.000,disclosed,SRC-SECONDARY-CEIC-CN-510600,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-deyang,CEIC图表：2024年=93140.000百万人民币,D
CN-510700,绵阳市,2018,406.00000,40600.000,disclosed,SRC-SECONDARY-CEIC-CN-510700,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-mianyang,CEIC图表：2018年=40600.000百万人民币,D
CN-510700,绵阳市,2019,464.00000,46400.000,disclosed,SRC-SECONDARY-CEIC-CN-510700,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-mianyang,CEIC图表：2019年=46400.000百万人民币,D
CN-510700,绵阳市,2020,574.00000,57400.000,disclosed,SRC-SECONDARY-CEIC-CN-510700,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-mianyang,CEIC图表：2020年=57400.000百万人民币,D
CN-510700,绵阳市,2021,704.90000,70490.000,disclosed,SRC-SECONDARY-CEIC-CN-510700,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-mianyang,CEIC图表：2021年=70490.000百万人民币,D
CN-510700,绵阳市,2022,850.80000,85080.000,disclosed,SRC-SECONDARY-CEIC-CN-510700,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-mianyang,CEIC图表：2022年=85080.000百万人民币,D
CN-510700,绵阳市,2023,1065.70000,106570.000,disclosed,SRC-SECONDARY-CEIC-CN-510700,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-mianyang,CEIC图表：2023年=106570.000百万人民币,D
